Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	PDF_Page	Printed_Page	Response	Review
176	to walk	3		tʃɛtei̯hio̯	k	73	70	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	4		ɑlɛ̃́u̯ŋ (nɑ̀i̯ʔ)	e	73	70	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	4		alːɪo̯ (na)	gh	73	70	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	1		uɽa	0	73	70	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	2		athɔ	a	73	70	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	3		vuaŋ	bl	73	70	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	4		əpai̯	c	73	70	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	5		ɑkhœ̃	e	73	70	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	5		ak̚khɪə̯ (na)	gh	73	70	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	6		dʒua̯ŋ	i	73	70	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	7		thlok	jm	73	70	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
177	to fly	8		apai̯hio̯	k	73	70	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	1		ɖhoka	0	74	71	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	2		alut	a	74	71	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	2		lut	bijlm	74	71	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	3		əwaŋ	c	74	71	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	4		kún (nɑ̀i̯ʔ)	e	74	71	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	4		kuŋ (na)	gh	74	71	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
178	to enter	5		əwoŋho	k	74	71	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
179	to kick	1		lathi maɾa	0	74	71	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
179	to kick	2		amɪʃːoi̯	a	74	71	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
179	to kick	2		mɛʃui̯	l	74	71	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
