Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,49,legacy:20230524-sindhic:row:49,maimani,43,akʰah,eye,,akʰah,,maimani
ingested,,50,legacy:20230524-sindhic:row:50,luwati,43,akʰī,eye,,akʰi,,maimani
ingested,,51,legacy:20230524-sindhic:row:51,maimani,,pakʰah,feather,,pakʰah,,maimani
ingested,,52,legacy:20230524-sindhic:row:52,luwati,,pɔ̄r,feather,,pɔ:r,,maimani
ingested,,53,legacy:20230524-sindhic:row:53,maimani,6914,nūh,fingernail,,nuh,,maimani
ingested,,54,legacy:20230524-sindhic:row:54,luwati,6914,nɔ̄,fingernail,,nɔ:,,maimani
ingested,,55,legacy:20230524-sindhic:row:55,maimani,,ṭʰāndūh,fire,,ʈʰa:nduh,,maimani
ingested,,56,legacy:20230524-sindhic:row:56,luwati,,ṭʰādū,fire,,ʈʰa:du,,maimani
ingested,,57,legacy:20230524-sindhic:row:57,maimani,9758,mahcih,fish,,mahtʃɪh,,maimani
ingested,,58,legacy:20230524-sindhic:row:58,luwati,9758,maci,fish,,matʃɪ,,maimani
ingested,,59,legacy:20230524-sindhic:row:59,maimani,e37,gɔ̄hśit,flesh,,gɔ:hʃɪt,,maimani
ingested,,60,legacy:20230524-sindhic:row:60,luwati,e37,gɔ̄śit,flesh,,gɔ:ʃɪt,,maimani
ingested,,61,legacy:20230524-sindhic:row:61,maimani,1697,ūɗeūh,fly,,uɗeuh,,maimani
ingested,,62,legacy:20230524-sindhic:row:62,luwati,1697,ūɗetū,fly,,uɗetu,,maimani
ingested,,63,legacy:20230524-sindhic:row:63,maimani,,paj,foot,,padʒ,,maimani
ingested,,64,legacy:20230524-sindhic:row:64,luwati,7766,paɠ,foot,,paɠ,,maimani
ingested,,65,legacy:20230524-sindhic:row:65,maimani,9397,barjyūh,full,,bardʒjuh,,maimani
ingested,,66,legacy:20230524-sindhic:row:66,luwati,,jakkār,full,,dʒakka:r,,maimani
ingested,,67,legacy:20230524-sindhic:row:67,maimani,6140,ɗyetuh,give,,ɗjetʊh,,maimani
ingested,,68,legacy:20230524-sindhic:row:68,luwati,6140,ɗyetu,give,,ɗjetʊ,,maimani
ingested,,69,legacy:20230524-sindhic:row:69,maimani,,ūñcūh,good,,uɲtʃuh,,maimani
ingested,,70,legacy:20230524-sindhic:row:70,luwati,,ūñcū,good,,uɲtʃu,,maimani
ingested,,71,legacy:20230524-sindhic:row:71,maimani,e68,śarbī,grease,,ʃarbi,,maimani
