Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,121,legacy:20220913-kvari:row:121,kvar,10702,rāt,night,,ra:t,,jouanne
ingested,,122,legacy:20220913-kvari:row:122,kvar,6984,nɔ̄,nine,,nɔ:,,jouanne
ingested,,123,legacy:20220913-kvari:row:123,kvar,6391,dūdi,nipple,,du:di,,jouanne
ingested,,124,legacy:20220913-kvari:row:124,kvar,7035,naĩ,no,,nai͂,,jouanne
ingested,,125,legacy:20220913-kvari:row:125,kvar,6909,nāk,nose,,na:k,,jouanne
ingested,,126,legacy:20220913-kvari:row:126,kvar,7031,nāt,nosering in septum,,na:t,,jouanne
ingested,,127,legacy:20220913-kvari:row:127,kvar,6906,na,not,,na,,jouanne
ingested,,128,legacy:20220913-kvari:row:128,kvar,2462,ēk,one,,e:k,,jouanne
ingested,,129,legacy:20220913-kvari:row:129,kvar,4364,gɔ̄ṇɛ,ornaments,,gɔ:ɳɛ,,jouanne
ingested,,130,legacy:20220913-kvari:row:130,kvar,6778,dān,paddy,,da:n,,jouanne
ingested,,131,legacy:20220913-kvari:row:131,kvar,6375,dukʰaṛɔ,painful,,dukʰaɻᴐ,,jouanne
ingested,,132,legacy:20220913-kvari:row:132,kvar,14029,ātʰēli,palm of hand,,a:tʰe:li,,jouanne
ingested,,133,legacy:20220913-kvari:row:133,kvar,5809,titar,partridge,,titar,,jouanne
ingested,,134,legacy:20220913-kvari:row:134,kvar,10223,musul,pestle,,musul,,jouanne
ingested,,135,legacy:20220913-kvari:row:135,kvar,10208,munāḷ,pheasant,,muna:ɭ,,jouanne
ingested,,136,legacy:20220913-kvari:row:136,kvar,13544,suŋguṭɔ,pig,,suŋguˀʈɔ,,jouanne
ingested,,137,legacy:20220913-kvari:row:137,kvar,8807,pɔdɔ,plant,,pɔdɔ,,jouanne
ingested,,138,legacy:20220913-kvari:row:138,kvar,8377a,pēṛ,plant,,pe:ɻ,,jouanne
ingested,,139,legacy:20220913-kvari:row:139,kvar,13451,sukhi,pleasant,,sukʰi,,jouanne
ingested,,140,legacy:20220913-kvari:row:140,kvar,1388,āḷu,potato,,a:ɭu,,jouanne
ingested,,141,legacy:20220913-kvari:row:141,kvar,10258,muśɔ,rat,,muʂɔ,,jouanne
ingested,,142,legacy:20220913-kvari:row:142,kvar,4523a,goṛēḍ,ravine deer,,goɻe:ɖ̥,,jouanne
ingested,,143,legacy:20220913-kvari:row:143,kvar,3998,gɔnnɔ,reed,,gɔn:ɔ,,jouanne
ingested,,144,legacy:20220913-kvari:row:144,kvar,7948,śāpṛi,rib,,ʃa:pɻi,,jouanne
ingested,,145,legacy:20220913-kvari:row:145,kvar,4749,ʦāual,rice,,ʦa:ual,,jouanne
ingested,,146,legacy:20220913-kvari:row:146,kvar,9331,bāt,rice,,ba:t,,jouanne
ingested,,147,legacy:20220913-kvari:row:147,kvar,7958,pɔraḷ,rice straw,,pɔraɭ,,jouanne
ingested,,148,legacy:20220913-kvari:row:148,kvar,5503,ṭʰīk,"right, correct",,ʈʰi:k,,jouanne
ingested,,149,legacy:20220913-kvari:row:149,kvar,2597,kāg̃aṇi,ring,,kã:gəɳi,,jouanne
ingested,,150,legacy:20220913-kvari:row:150,kvar,11366,bāṭ,road,,ba:ʈ,,jouanne
ingested,,151,legacy:20220913-kvari:row:151,kvar,3208,kukṛɔ,rooster,,kukɻɔ,,jouanne
ingested,,152,legacy:20220913-kvari:row:152,kvar,5086,ʣɔ́ṛɛ,roots,,ʣɔ́ɻɛ,,jouanne
ingested,,153,legacy:20220913-kvari:row:153,kvar,11027,lāḷɛ,saliva,,la:ɭɛ,,jouanne
ingested,,154,legacy:20220913-kvari:row:154,kvar,10978,luṇṭɔ,salt,,luɳʈɔ,,jouanne
ingested,,155,legacy:20220913-kvari:row:155,kvar,4696,ʦappal,sandal,,ʦap:al,,jouanne
ingested,,156,legacy:20220913-kvari:row:156,kvar,10650,ras,sap,,rəs,,jouanne
ingested,,157,legacy:20220913-kvari:row:157,kvar,12081,biʦu,scorpion,,biʦʰu,,jouanne
ingested,,158,legacy:20220913-kvari:row:158,kvar,9250,bija,seed,,biʒa,,jouanne
ingested,,159,legacy:20220913-kvari:row:159,kvar,1135,āpu,self,,a:pu,,jouanne
ingested,,160,legacy:20220913-kvari:row:160,kvar,13139,sāt,seven,,sa:t,,jouanne
ingested,,161,legacy:20220913-kvari:row:161,kvar,12815,sɛ,she,,sɛ,,jouanne
ingested,,162,legacy:20220913-kvari:row:162,kvar,9606,bīṛ,sheep,,bi:ɻ,,jouanne
ingested,,163,legacy:20220913-kvari:row:163,kvar,13839,pʰɔnnɔ,shoulder,,pʰɔn:ɔ,,jouanne
ingested,,164,legacy:20220913-kvari:row:164,kvar,11435,bośo,sit!,,boʃo,,jouanne
ingested,,165,legacy:20220913-kvari:row:165,kvar,12803,ʦɔ,six,,ʦʰᴐ,,jouanne
ingested,,166,legacy:20220913-kvari:row:166,kvar,3848,kʰāl,"skin, bark",,kʰa:l,,jouanne
ingested,,167,legacy:20220913-kvari:row:167,kvar,13271,sāp,snake,,sa:p,,jouanne
ingested,,168,legacy:20220913-kvari:row:168,kvar,3523,kɔ̄ḷ̃ɔ,soft,,kɔ̃:ɭᴐ,,jouanne
ingested,,169,legacy:20220913-kvari:row:169,kvar,5738,tɔluaĩ,sole,,tɔluaĩ,,jouanne
ingested,,170,legacy:20220913-kvari:row:170,kvar,12370,śag,soup,,ʃaˑg,,jouanne
ingested,,171,legacy:20220913-kvari:row:171,kvar,3777,kʰaṭɔ,sour,,kʰaʈᴐ,,jouanne
ingested,,172,legacy:20220913-kvari:row:172,kvar,6097,tʰūk,sputum,,tʰu:k,,jouanne
ingested,,173,legacy:20220913-kvari:row:173,kvar,6138,ḍɛṇṭʰɛḷ,stalk,,ɖɛɳʈʰɛɭ,?,jouanne
ingested,,174,legacy:20220913-kvari:row:174,kvar,4516,gɔṛi,steed,,goɻi,,jouanne
ingested,,175,legacy:20220913-kvari:row:175,kvar,5517,ḍaŋk,sting,,ɖaŋk,,jouanne
ingested,,176,legacy:20220913-kvari:row:176,kvar,8376,pēṭ,stomach,,pe:ʈ,,jouanne
ingested,,177,legacy:20220913-kvari:row:177,kvar,12769,sā̄̆s,sweat,,să:s,,jouanne
ingested,,178,legacy:20220913-kvari:row:178,kvar,10299,miṭʰɔ,sweet,,miʈʰɔ,,jouanne
ingested,,179,legacy:20220913-kvari:row:179,kvar,8249,punʣuṭɔ,tail,,pundzuˀʈɔ,,jouanne
ingested,,180,legacy:20220913-kvari:row:180,kvar,919,āśu,tear,,a:ʃu,,jouanne
ingested,,181,legacy:20220913-kvari:row:181,kvar,6229,daś,ten,,dəʃ,,jouanne
ingested,,182,legacy:20220913-kvari:row:182,kvar,5760,teśi,that,,teʃi,,jouanne
ingested,,183,legacy:20220913-kvari:row:183,kvar,4424,gɔṇɔ,thick,,gᴐɳᴐ,,jouanne
ingested,,184,legacy:20220913-kvari:row:184,kvar,5082,ʣāg̃,thigh,,ʣã:g̥,,jouanne
ingested,,185,legacy:20220913-kvari:row:185,kvar,7736,patlɔ,thin,,patlɔ,,jouanne
ingested,,186,legacy:20220913-kvari:row:186,kvar,2514,eśi,this,,eʃi,,jouanne
ingested,,187,legacy:20220913-kvari:row:187,kvar,2668,kāṇḍɔ,thorn,,ka:ɳɖɔ,,jouanne
ingested,,188,legacy:20220913-kvari:row:188,kvar,12815,sɛ,"those, they",,sԑ,,jouanne
