pkh-690-103,PKher,*capɛ̀,"to wash, scrub","munda1968proto[p. 103, SEAlang record 690]"
pkh-697-104,PKher,*carɛ̀ɟ,wooden pin,"munda1968proto[p. 104, SEAlang record 697]"
pkh-689-103,PKher,*caŋkɛ̀,to jump,"munda1968proto[p. 103, SEAlang record 689]"
pkh-953-123,PKher,*caŋɡa,step,"munda1968proto[p. 123, SEAlang record 953]"
pkh-728-106,PKher,*caɖɔ̀,to drown,"munda1968proto[p. 106, SEAlang record 728]"
pkh-1050-129,PKher,*caɡaɽ,"to break, split","munda1968proto[p. 129, SEAlang record 1050]"
pkh-47-54,PKher,*cipud ~ *cupud,fist; to grasp,"munda1968proto[p. 54, SEAlang record 47]"
pkh-1064-130,PKher,*cirɡal,to be aware,"munda1968proto[p. 130, SEAlang record 1064]"
pkh-54-55,PKher,*citri,partridge,"munda1968proto[p. 55, SEAlang record 54]"
pkh-189-64,PKher,*cubaʔ,to get small particle in the eye,"munda1968proto[p. 64, SEAlang record 189]"
pkh-214-66,PKher,*cubuɟ,to prick,"munda1968proto[p. 66, SEAlang record 214]"
pkh-150-61,PKher,*cundi,muskrat,"munda1968proto[p. 61, SEAlang record 150]"
pkh-326-75,PKher,*cùʈù,rat,"munda1968proto[p. 75, SEAlang record 326]"
pkh-581-94,PKher,*cɔaʔ,to break,"munda1968proto[p. 94, SEAlang record 581]"
pkh-554-93,PKher,*cɔpa,kernel,"munda1968proto[p. 93, SEAlang record 554]"
pkh-614-97,PKher,*cɔpɔɟ,to suck,"munda1968proto[p. 97, SEAlang record 614]"
pkh-574-94,PKher,*cɔʈaʔ,to come off,"munda1968proto[p. 94, SEAlang record 574]"
pkh-521-91,PKher,*cɔʔ,to kiss,"munda1968proto[p. 91, SEAlang record 521]"
pkh-705-104,PKher,*cɔ̀d,"to sit high, help climb up","munda1968proto[p. 104, SEAlang record 705]"
pkh-466-86,PKher,*cɛ-p-ɛl,wave,"munda1968proto[p. 86, SEAlang record 466]"
pkh-1003-126,PKher,*cɛcaʔ,to tear off,"munda1968proto[p. 126, SEAlang record 1003]"
pkh-448-85,PKher,*cɛpɛɟ,to suck,"munda1968proto[p. 85, SEAlang record 448]"
pkh-414-82,PKher,*cɛtan,above,"munda1968proto[p. 82, SEAlang record 414]"
pkh-675-102,PKher,*cɛ̀-ka-,interrogation,"munda1968proto[p. 102, SEAlang record 675]"
pkh-55-55,PKher,*d(h)iri,"rock, stone","munda1968proto[p. 55, SEAlang record 55]"
pkh-752-108,PKher,*dab,thatch,"munda1968proto[p. 108, SEAlang record 752]"
pkh-954-123,PKher,*daha ~*daka,cooked rice; bee egg,"munda1968proto[p. 123, SEAlang record 954]"
pkh-782-110,PKher,*dal,to beat,"munda1968proto[p. 110, SEAlang record 782]"
pkh-653-100,PKher,*dalɔb,to cover,"munda1968proto[p. 100, SEAlang record 653]"
pkh-1029-127,PKher,*danaŋ,to shelter,"munda1968proto[p. 127, SEAlang record 1029]"
pkh-737-107,PKher,*dapɔ̀ɽ,to let,"munda1968proto[p. 107, SEAlang record 737]"
pkh-1019-127,PKher,*darɔm,to welcome,"munda1968proto[p. 127, SEAlang record 1019]"
pkh-989-125,PKher,*daɽhab,large-headed,"munda1968proto[p. 125, SEAlang record 989]"
pkh-691-103,PKher,*daɽɛ̀,to be able; strength,"munda1968proto[p. 103, SEAlang record 691]"
pkh-763-108,PKher,*daʔ,water,"munda1968proto[p. 108, SEAlang record 763]"
pkh-9-51,PKher,*diɟ,to get something stuck in throat,"munda1968proto[p. 51, SEAlang record 9]"
pkh-134-60,PKher,*du(-ɽu-)b,to sit,"munda1968proto[p. 60, SEAlang record 134]"
pkh-170-63,PKher,*dubɛ̀,"dunghill, garbage","munda1968proto[p. 63, SEAlang record 170]"
pkh-235-68,PKher,*dudmul,kind of bird,"munda1968proto[p. 68, SEAlang record 235]"
pkh-146-61,PKher,*dul,to pour,"munda1968proto[p. 61, SEAlang record 146]"
pkh-201-65,PKher,*dundu,kind of bird,"munda1968proto[p. 65, SEAlang record 201]"
pkh-238-68,PKher,*dundur,obstinate,"munda1968proto[p. 68, SEAlang record 238]"
pkh-78-57,PKher,*dupil,to carry on head,"munda1968proto[p. 57, SEAlang record 78]"
pkh-215-66,PKher,*duɳuɟ,to spill,"munda1968proto[p. 66, SEAlang record 215]"
pkh-294-72,PKher,*dìkù,foreigner,"munda1968proto[p. 72, SEAlang record 294]"
pkh-303-73,PKher,*dìrìɲ ~ *dìrìŋ,horn,"munda1968proto[p. 73, SEAlang record 303]"
pkh-508-89,PKher,*dɔ,emphatic,"munda1968proto[p. 89, SEAlang record 508]"
pkh-603-96,PKher,*dɔcɔd,beard,"munda1968proto[p. 96, SEAlang record 603]"
pkh-591-95,PKher,*dɔhɔ,"to keep, place","munda1968proto[p. 95, SEAlang record 591]"
pkh-384-80,PKher,*dɛa,back,"munda1968proto[p. 80, SEAlang record 384]"
pkh-373-79,PKher,*dɛɽ(ɛ),to copulate,"munda1968proto[p. 79, SEAlang record 373]"
pkh-771-109,PKher,*h-an,that,"munda1968proto[p. 109, SEAlang record 771]"
pkh-876-116,PKher,*ha(i)-kɔ,fish,"munda1968proto[p. 116, SEAlang record 876]"
pkh-938-122,PKher,*ha-pa-num,young girl,"munda1968proto[p. 122, SEAlang record 938]"
pkh-990-125,PKher,*ha-ɖa-b,to bite,"munda1968proto[p. 125, SEAlang record 990]"
pkh-753-108,PKher,*hab,to bite,"munda1968proto[p. 108, SEAlang record 753]"
pkh-104-58,PKher,*habiɟ,until,"munda1968proto[p. 58, SEAlang record 104]"
pkh-960-123,PKher,*haja,greed,"munda1968proto[p. 123, SEAlang record 960]"
pkh-948-122,PKher,*haka ~ *àkà,to hang,"munda1968proto[p. 122, SEAlang record 948]"
pkh-958-123,PKher,*hal(a),to repay,"munda1968proto[p. 123, SEAlang record 958]"
pkh-1030-128,PKher,*halaŋ,to pick up,"munda1968proto[p. 128, SEAlang record 1030]"
pkh-731-106,PKher,*halɔ̀,to scoop,"munda1968proto[p. 106, SEAlang record 731]"
pkh-487-88,PKher,*halɛ,halo,"munda1968proto[p. 88, SEAlang record 487]"
pkh-1041-128,PKher,*hamal,heavy,"munda1968proto[p. 128, SEAlang record 1041]"
pkh-269-70,PKher,*hambud,to embrace,"munda1968proto[p. 70, SEAlang record 269]"
pkh-273-71,PKher,*hambuɟ,sunken,"munda1968proto[p. 71, SEAlang record 273]"
pkh-1051-129,PKher,*hantaɽ,"to finish, already","munda1968proto[p. 129, SEAlang record 1051]"
pkh-936-122,PKher,*hapuʔ,kind of bird,"munda1968proto[p. 122, SEAlang record 936]"
pkh-488-88,PKher,*hapɛ,quiet,"munda1968proto[p. 88, SEAlang record 488]"
pkh-265-70,PKher,*harub,to cover,"munda1968proto[p. 70, SEAlang record 265]"
pkh-991-125,PKher,*harɔb,to satiate,"munda1968proto[p. 125, SEAlang record 991]"
pkh-959-123,PKher,*hasa,soil,"munda1968proto[p. 123, SEAlang record 959]"
pkh-285-72,PKher,*hasur,"to set (of the sun, moon)","munda1968proto[p. 72, SEAlang record 285]"
pkh-733-106,PKher,*hasɔ̀,"pain, fever","munda1968proto[p. 106, SEAlang record 733]"
pkh-736-107,PKher,*hasɔ̀ɽ ~ *àsɔ̀ɽ,to stop raining,"munda1968proto[p. 107, SEAlang record 736]"
pkh-1031-128,PKher,*hataŋ,brain,"munda1968proto[p. 128, SEAlang record 1031]"
pkh-1005-126,PKher,*hatlaʔ,armpit,"munda1968proto[p. 126, SEAlang record 1005]"
pkh-662-101,PKher,*hatɔm,aunt,"munda1968proto[p. 101, SEAlang record 662]"
pkh-726-106,PKher,*hatɔ̀ ~ *àtù,"village, settlement","munda1968proto[p. 106, SEAlang record 726]"
pkh-732-106,PKher,*haɔ̀,red ant,"munda1968proto[p. 106, SEAlang record 732]"
pkh-105-58,PKher,*haɖi(ɟ),dog,"munda1968proto[p. 58, SEAlang record 105]"
pkh-650-100,PKher,*haɖɔʔ ~ *àɖɔ̀(ʔ),connective (and),"munda1968proto[p. 100, SEAlang record 650]"
pkh-739-107,PKher,*haɖɔ̀paʔ,quiet (person),"munda1968proto[p. 107, SEAlang record 739]"
pkh-945-121,PKher,*haɖɡur,to stir,"munda1968proto[p. 121, SEAlang record 945]"
pkh-957-123,PKher,*haɡa,brother,"munda1968proto[p. 123, SEAlang record 957]"
pkh-935-121,PKher,*haɲɟuʔ ~ *haɲɟuŋ,sunken,"munda1968proto[p. 121, SEAlang record 935]"
pkh-654-100,PKher,*haɳɔb,to put into water,"munda1968proto[p. 100, SEAlang record 654]"
