Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,146,138,24,iki V.,iki,V.,to sell.,94.29,,ghatage-kasargod1970:p138:e24,ghatage-kasargod1970:p138:e24,,
ocr_unreviewed,source transcription requires human verification,146,138,25,ijt V.,ijt,V.,"to go off, to be extinguished.",95.28,,ghatage-kasargod1970:p138:e25,ghatage-kasargod1970:p138:e25,,
ocr_unreviewed,source transcription requires human verification,146,138,26,indi M.,indi,M.,a kind of palm tree.,95.70,,ghatage-kasargod1970:p138:e26,ghatage-kasargod1970:p138:e26,,
ocr_unreviewed,source transcription requires human verification,146,138,27,i:st Nu.,i:st,Nu.,twenty.,84.39,,ghatage-kasargod1970:p138:e27,ghatage-kasargod1970:p138:e27,,
ocr_unreviewed,source transcription requires human verification,146,138,28,issart V.,issart,V.,to forget.,80.27,issart,ghatage-kasargod1970:p138:e28,ghatage-kasargod1970:p138:e28,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,29,i:ščeri N.,i:ščeri,N.,easy chair.,91.14,,ghatage-kasargod1970:p138:e29,ghatage-kasargod1970:p138:e29,,
ocr_unreviewed,source transcription requires human verification,146,138,30,ugau V.,ugau,V.,to climb.,92.81,,ghatage-kasargod1970:p138:e30,ghatage-kasargod1970:p138:e30,,
ocr_unreviewed,source transcription requires human verification,146,138,31,uggədi V.,uggədi,V.,to open.,90.52,,ghatage-kasargod1970:p138:e31,ghatage-kasargod1970:p138:e31,,
ocr_unreviewed,source transcription requires human verification,146,138,32,ujjədu Adj.,ujjədu,Adj.,bright,93.69,,ghatage-kasargod1970:p138:e32,ghatage-kasargod1970:p138:e32,,
ocr_unreviewed,source transcription requires human verification,146,138,33,ujjodu M.,ujjodu,M.,light.,93.46,,ghatage-kasargod1970:p138:e33,ghatage-kasargod1970:p138:e33,,
ocr_unreviewed,source transcription requires human verification,146,138,34,ujve Adj.,ujve,Adj.,right (hand).,91.11,,ghatage-kasargod1970:p138:e34,ghatage-kasargod1970:p138:e34,,
verified,Seeded audit correction of the retroflex stop.,146,138,35,udu N.,uḍu,N.,iguana.,96.02,,ghatage-kasargod1970:p138:e35,ghatage-kasargod1970:p138:e35,,human-corrected
ocr_unreviewed,source transcription requires human verification,146,138,36,udki F.,udki,F.,hiccough.,90.31,,ghatage-kasargod1970:p138:e36,ghatage-kasargod1970:p138:e36,,
ocr_unreviewed,source transcription requires human verification,146,138,37,uņțou V.,uņțou,V.,to stick.,88.97,,ghatage-kasargod1970:p138:e37,ghatage-kasargod1970:p138:e37,,
ocr_unreviewed,source transcription requires human verification,146,138,38,uta:ri V.,uta:ri,V.,to climb down.,95.36,,ghatage-kasargod1970:p138:e38,ghatage-kasargod1970:p138:e38,,
ocr_unreviewed,source transcription requires human verification,147,139,1,uttəri de:st V.,uttəri de:st,V.,"to answer,",87.73,,ghatage-kasargod1970:p139:e1,ghatage-kasargod1970:p139:e1,,
ocr_unreviewed,source transcription requires human verification,147,139,2,uda:ri V.,uda:ri,V.,to vomit.,83.14,uda:ri,ghatage-kasargod1970:p139:e2,ghatage-kasargod1970:p139:e2,,low-confidence
ocr_unreviewed,source transcription requires human verification,147,139,3,uda:ri Adj.,uda:ri,Adj.,"generous,",94.07,,ghatage-kasargod1970:p139:e3,ghatage-kasargod1970:p139:e3,,
ocr_unreviewed,source transcription requires human verification,147,139,4,udesi N.,udesi,N.,morning.,95.34,,ghatage-kasargod1970:p139:e4,ghatage-kasargod1970:p139:e4,,
ocr_unreviewed,source transcription requires human verification,147,139,5,udde Adv.,udde,Adv.,tomorrow.,95.36,,ghatage-kasargod1970:p139:e5,ghatage-kasargod1970:p139:e5,,
ocr_unreviewed,source transcription requires human verification,147,139,6,unču Adj.,unču,Adj.,long.,94.76,,ghatage-kasargod1970:p139:e6,ghatage-kasargod1970:p139:e6,,
ocr_unreviewed,source transcription requires human verification,147,139,7,undəli V.,undəli,V.,to swing.,91.15,,ghatage-kasargod1970:p139:e7,ghatage-kasargod1970:p139:e7,,
ocr_unreviewed,source transcription requires human verification,147,139,8,undi:ri M.N.,undi:ri,M.N.,mouse.,93.15,,ghatage-kasargod1970:p139:e8,ghatage-kasargod1970:p139:e8,,
ocr_unreviewed,source transcription requires human verification,147,139,9,upəde: ši de:si V.,upəde: ši de:si,V.,"to preach, to advise,",93.73,,ghatage-kasargod1970:p139:e9,ghatage-kasargod1970:p139:e9,,
ocr_unreviewed,source transcription requires human verification,147,139,10,upəyogi ka:ri V.,upəyogi ka:ri,V.,to use.,89.21,,ghatage-kasargod1970:p139:e10,ghatage-kasargod1970:p139:e10,,
ocr_unreviewed,source transcription requires human verification,147,139,11,upaji F.,upaji,F.,birth.,95.28,,ghatage-kasargod1970:p139:e11,ghatage-kasargod1970:p139:e11,,
ocr_unreviewed,source transcription requires human verification,147,139,12,upasi kə:ri V.,upasi kə:ri,V.,to fast.,92.04,,ghatage-kasargod1970:p139:e12,ghatage-kasargod1970:p139:e12,,
ocr_unreviewed,source transcription requires human verification,147,139,13,ubau V.,ubau,V.,to sweat.,95.03,,ghatage-kasargod1970:p139:e13,ghatage-kasargod1970:p139:e13,,
