CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
3104,"yesterday, tomorrow",kal,"kalʱi, kalʱi-ɛ",kali,kail,kali,"kalkʲæ, kail ","bit̪æ kali, ʤʰawa kali","zoa kali, soa kali"
2702,story,kəhəni,,"kahini, kahani",kahini,,,kahini,kahini
,who? (interrogative),kɛ,kəhaj,kaɛ,"ke, kaj",kaj,kãi,kaj,kaɛ
,"but, however",,kint̪u,"kint̪u, kint̪uk","kint̪u, kint̪uk",kint̪uk,kint̪uk,kint̪uk,kintu
3144,"some, anything",kuʧʰu,kiʧʰu,kiʧʰu,kiʧʰu,kesu,,kisu,
3594,buys,kin-,kin-,kin-,kin-,kin-,"ken-, kin-","ken-, kin-",kin-
3447,farmer,kisan,kisan,kisan,kiʃan,kiʃan,,kiʃʲæn,
3205,"evil, wicked",,,,,,ku,ku,
3400,well,kuĩ,kũi,"kua, kui",,,,kuæ,kua
3386;3389,"cloudy, foggy, misty",kũhasi,kũhas,"kũha, kũhasa",kuha,kuha,kuwʲæ,"kuwʲæ, kuæli",kuha
3310,potter,kumʱar,kumʱar,kumʱar,kumʱar,kumar, kumær, kumær,kumar
,grasshopper (small),,,,,kukʈi,,kukʈi,kukti
3329,dog,,kukur,kukur,kukur,kukur,kukur,kukur,kukur
3244,"axe, hatchet",kulʱari,kurʱal,kulʱari,kurʱal,kuɽʷal ,kurʲæl,kurʲæl,kutʰar
3275,dog,kut̪t̪a,kut̪t̪a,,,,kut̪t̪ʲæ,,
3317,crocodile,,,,kumir,, kumbʱir,,
3358,jujube tree and its small plum-like berry,,,,,,kul,kul,
3541,sugarcane,kusiar,kusiar,kusiar,kuʃar,kuʃiar,kuʃær,kuʃiær,kusiar
10881;10882,"like what, how (interrogative)",,,,,,kæŋka,ki naxan, keŋka
,"like what, how (interrogative)",,,,kɛmon,kɛmɔn,kæmon,kɛmun,
,"like what, how (interrogative)",kɛrʌŋ,"kirʌŋ, kinʌŋ, kɛnʌŋ","kɛnʌŋ, kɛnʌŋt̪i",kɛnoŋ,,,,
3489,"thorn, sting, spear",,,,,kosa,"koʦa, kosa",koʦa,
,pigeon,kʌpt̪ər,,kopt̪or,kopt̪or,,"kojt̪or, kojt̪ol",kojt̪or,
3523,,,,komʌl,,,,komla,
3484,"charcoal, coal",kojlə,kojla,kojla,kɔjla,kɔjla,kɔjla,"kojʎæ, kɔla",
2575;13760,where (interrogative),,"kunʈʰa, kunʈʰina","kunʈʰɛ, kunʈʰin",kunʈʰe,"koʈʰe, kunʈa",koʈe,"koʈe, kuʈi",kuntʰaj
2575;7627,which way? (interrogative),kunpakɛ,kunpʌkaj,,kunpakaj,,kon pak,,
2575,when (interrogative),,kun-bɛla,kun-bɛla,kunbɛla,,"konbæla, konbʱæla, kumbæla",konbela,"konbela, kunbela"
3777,sour,kʰəʈa,kʰaʈa,kʰəʈə,kʰaʈa,,,,
3769,"firewood, fuel",,kʰʌri,,kʰori,"kʰoɽi, kʰori","kʰoɽi, kʰoɭi",kʰori,kʰori
3806,brown,,kʰʌjra,kʰʌjra,,,,,
3823,"hare, rabbit",kʰəra,kʰərʱa,kʰʌra,,,,,
,tailor,,,,,"kʰolipʷa, kʰoripʷa",kʰolpʲæ,kʰolpʲæ,
3834,"threshing-floor, granary",kʰəlian,,,kʰɔlan, kʰɔlt̪owaɽi,kʰɔlan,kʰɔlan,
,milk,,,,,,"kʰaud̪ʲæ, kʰaud̪ʷæ",kʰaud̪ʲæ,
3828,date-palm,kʰəʤur,kʰʌʤur,kʰʌʤur,kʰeʤur,kʰezur,"kaiʣor, kʰeʣur",kʰaʣur,"kʰezur, kʰedur"
3781,bed frame,kʰaʈ,,,,kʰaʈ,kʰaʈ,kʰaʈ,kʰaʈ
,short,,,kʰaʈʌ,,,"kʰaʈo, kaɖo","kʰaʈɔ, kʰaʈo",kʰata
,lizard (big),,,kʰaʈlas,kʰaʈaʃ,,"kʰaʈaiʃ, kaʈʰaiʃ",,
3862,deep (lake),kʰad̪,kʰad̪i,,,,,,
,spear,,,,,,kʰapor, kʰapor,kʰapɔr
3831,skull,kʰʌpri,kʰʌppʌr,,,,,kʰapri,
,"threshing-floor, granary",kʰʌmari,kamʱar, kʰəmar,,,,,
,"evil, wicked", kʰərab ,kʰərap,kʰarab,,,kʰarap,,
,cave,,,,,kʰaiʎ, kʰaijæ,kʰaiʎʃʲæ,
,empty,kʰali,kʰali,kʰali,kʰali,kʰali,kʰali,kʰailʃʲæ,kʰali
,castrated animal (esp. a goat),kʰəssi,,,,,kʰaʃi,,
3716,hunger,,,,kʰid̪a,,kʰid̪ʲæ,,
3697,cucumber,kʰira,kʰira,kʰira,kʰira,kʰira,kʰirʲæ,,
3827,itchy,,, kʰuzla-ni,kʰuzli,,,,kʰuzali
,"some, few, little",ɛk kʰud̪i,,,uxud̪i,,,,
,blood,"kʰun, kʰon",kʰun,,,,,,
,"very much, lots",kʰob,,kʰob, kʰuβei, kʰib,kʰup,"kʰub, kʰup",
