CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
12579,smells (perceive odor),suŋʱ-,suŋʱ-,suŋg-,ʃuŋ-,ʃuŋ-,"ʃoŋg-, ʃuŋg-","ʃoŋ-, ʃuŋ-",huŋ-
,Friday,sukər,"sukrʌwar, sukərwar",sukʌrwar,ʃukurwar,ʃuxurwar,ʃokorbar,ʃukurwær,"hukurwar, sukurwar"
12598,hears,sun-,sun-,sun-,ʃun-,ʃun-,ʃon-,"ʃon-, ʃun-",hun-
,cucumber,,,,,ʃɛmaʃ,ʃõaʃ,ʃɛmaʃ,"hẽwas, heŋwas"
12493,green,,,,,,ʃæmla,ʃɛmla,
12357,"rabbit, hare",,,,,ʃɛʃa,"ʃæʃa, ʃoʃa",ʃɛʃa,haha pohu
12611,end (result),,sɛs,sɛs,ʃɛʃ,ʃæʃ,ʃɛʃ,,
13331,"bullock, ox",,,,ʃar,,"ʃãr, ʃãɽ","ʃar goɭu, goru",har goru
13082 (Ts.),friend,,sʌŋ,sʌŋ,,,,,
13036 (Ts.),"world, universe",səŋsar,sʌŋsar,sənsar,,ʃɔŋʃar,ʃɔŋʃar,ʃɔŋʃar,sɔ̃sar
13067 (Ts.),morning,,sʌkalɛ,,ʃɔkal,ʃaxal,,ʃaxal,
,road,sərək,,sʌrʌk,,"ʃɔɽɔk, ʃɔrɔk",,ʃɔrok,
13276,all,səb-la,,,ʃɔbla,,"ʃowk, ʃowg","ʃowk, ʃowgʎæ",
,green,,,,ʃobuʧ,ʃoβus,"ʃobuʣ, ʃobʣiæ",,hewuzia
13236 (Ts.),sea (ocean),səmund̪ər,sʌmund̪ʌr,sʌmund̪rʌ,,ʃomud̪d̪ur,,,
,butter,,,,,,gud̪am,,
13252 (Ts.),"simple, easy",sərəl,sʌrʌl,sʌrʌl,,,ʃɔrol,ʃɔrol,hɔrɔl
12268,rotten,səra,sʌral,sʌrə,ʃɔra,,,ʃɔra,
13281,mustard plant or seed,sərsõ,sɛrso,,ʃoriʃa,ʃoiʃʃʲa,ʃoʃʃʲæ,ʃoʃʃʲæ,
,question,səwal,sʌwal,,ʃowal,,,,
,cheap,səst̪a,sʌst̪a,sʌst̪a,ʃɔst̪a,ʃost̪a,ʃɔst̪a,ʃɔst̪a,"hɔsta, hosta"
13302 (Ts.),"simple, easy",,,,,,ʃɔhoʣ,,"hɔhɔs, hohos"
13271,snake,sãp,sãp,sap,,ʃap,ʃãp,ʃap,hap
12918,evening,sam,san,san,,ʃans,"ʃãʣ, ʃãʣɛrβɛla",ʃas,
12918 (Ts.),evening,,,,ʃoind̪ʱa,,,ʃoinʣʲæ,"hɔjndʱa, hojndʱa"
13325 (Ts.),sea (ocean),,,,ʃagor,,ʃagor,ʃagor,haɣɔr
13139,seven,sat̪,sat̪,sat̪,ʃat̪,ʃat̪,ʃat̪,ʃat̪,"hat, sat"
13364,"near, close, beside","sat̪ʰ, sat̪ʰ-ɛ",,,"ʃat̪ʰe, ʃat̪ʰot̪",,ʃat̪e,ʃat̪ot̪,
,white,,,,ʃad̪ʱa,ʃad̪a,ʃad̪a,,
12982,"in front (of), facing",səmna-səmni,samnʌt̪,,ʃamnot̪,,,"ʃamnot̪, ʃamnat̪","hɔnmuxɔt, hormuxot"
,year,sal,sal,sal,,,,ʃal,
12583,horn,siŋ,siŋ,siŋ,,ʃiŋ,ʃaŋaj,ʃiŋʲæ,hiŋ
13384,lion,siŋ,"sihʌ̃, siŋʱʌ̃",sihʌ̃,"ʃiŋgʱɔ, ʃiŋgɔ","ʃiŋɔ, ʃiŋgɔ",ʃeŋgo,ʃiŋɔ,"hiŋhɔ, hiŋgʱɔ"
12485 (Ts.),"dew, mist, light condensation",,sit̪,sit̪,ʃit̪,ʃit̪,ʃit̪,,
13401,straight,sid̪ʱa,sid̪ʱa,sid̪ʱa,"ʃad̪ʱaʃid̪ʱa, ʃad̪ʱamaʈʰa",ʃid̪a,ʃid̪ʲæ,ʃid̪ʲæ,sidʱa
,glass,sisa,sisa,sisa,ʃiʃa,,,,
12445,bean,sim,sima,sima,ʃim,ʦʰima,simʲæ,ʦʰimʲæ,
13551,needle,sũi,sĩu,siu,ʃui,ʃui,ʃui,,
12552,dry (substance),sukna,sukna,sukna,ʃukna,ʃukʷan,"ʃukʲæn, ʃuknʲæ",ʃukʲæn,hukuna
,ease,suk,sukʰ,sukʰ,ʃukʰ,"ʃuk, ʃuxi",ʃokot̪,ʃuk,
13479,"lies down, rests",sut̪-,,sut̪-,ʃut̪-,,"ʃot̪-, ʃut̪-","ʃot̪-, ʃut̪-",
13561,thread,sut̪o,sut̪a,sut̪a,ʃut̪a,"ʃut̪i, ʃut̪ʷa",ʃut̪ʲæ,"ʃut̪ʲæ, ʃut̪li",huta
,pretty (girl),sund̪ər,sund̪ʌr,sund̪ər,ʃund̪ori,,ʃond̪or,ʃund̪or,hundɔr
13482,betelnut,supari,supari,supari,ʃupari,,ʃupri,ʃupri,hupari
13574,sun,surəʤ,suruʤ,surio,,ʃuɽus,ʃuruʣ,ʃuʣʣo,
13544,"pig, boar",sor,sugʌr,sor,ʃor,ʃuor,ʃuor,ʃuor,
,spit,,,,,,sæp,ʦʰɛp,hep
,then,,sɛiβɛla,"ʌiβɛla, uβɛla","ʃɛla, ʃɛlanʱe",ʃɛla,ʃæla,ʃɛla,hɛla
13881,"current, flow",,,,ʃɔ̃t̪,ʃot̪,"ʃõt̪, ʃɔ̃t̪",ʃot̪,hot
,"sorrow, grief",sok,,sok,,,,ʃok,hok
13519,gold,sʌna,sʌna,sʌna,ʃɔna,ʃona,ʃona,"ʃona, ʃonali",hona
13520,goldsmith,,sʌnar,sunar,,,,,honari
13264,thin (stick),,suru,suru,,"ʃoru, ʃoɽu",ʃoru,"ʃoru, ʃoɽu",horu
,one & a quarter,səwa,sʌwa,sɛβa,,ʃowa,ʃowa,ʃowa,sowa
,"suddenly, unexpectedly, surprising",həʈʰat̪,,,hɔʈʰat̪,,hɔʈat̪,hɔʈaʃɛ,hɔtʰat
13982,deer,hərin,hʌrin,"hʌrin, hʌriŋ",horin,horiŋ,horin,"horin, hoɽin",horin
,yellow,həld̪ia,hʌld̪ia,hʌld̪ia,hold̪ia,hold̪ia,hold̪iæ,hold̪iæ,"haldia, hallia"
,duck,hãs,hãs,has,pat̪i haʃ,pat̪i haʃ,"hãʃ, paki,pat̪i hãʃ",pat̪i haʃ,hasini-has
,present,,hazir,hazir,haʤir,hazir,,haʣir,
13943,knee,həʈua,hʌʈua,haʈua,"heʈua, hoʈua",haʈua,"haʈuæ, haʈu",haʈuæ,hatu
13952,bone,həɖɖi,hʌɖɖi,həɖɖi,haɖɖi,,haɖɖi,haɖɖi,hara
14027,weapon,hʌt̪iar,hɛt̪iar,hʌt̪iar,hat̪iar,,,hat̪iær,
,elephant,hət̪ʰi,hʌt̪ʰi,hat̪i,hat̪i,hat̪i,hat̪i,hat̪i,hati
,"hammer, sledgehammer",hət̪əuɽa,hʌt̪ʌuɽi,hʌt̪ʌuɽə,hat̪uri,hat̪uɽʷa,"hat̪urʲæ, hat̪ur, hat̪uɽ",hat̪urʲæ,hatura
14024,hand,hat̪ʰ,hat̪,hat̪ʰ,hat̪,hat̪,hat̪,hat̪,"ha, hat"
2287,we,həmra,"hama, hama-la",hama,hamra,hamera,"hamra, hamɔra","hamra, amra","ami, ami-ra"
14066,plough,hal,hal,hal,hal,hal,hal,,
10896,light (weight),həlka,hulka,həlka,hulko,,halka,halka,
,"wind, breeze, air",həwa,hawa,haβa,,,hawa,,
,"jealousy, envy",irsja,hiŋsa,,hiŋʃa,hiŋʃa,hiŋʃʲæ,hiŋʃʲæ,
14152,heart,,,,haɖ,hia,,hiæ,
14152 (Ts.),heart,,,hrid̪əj,,,id̪oj,hid̪oj,
14149,storm,,,huri bət̪as,,,hurkʲæ,"hurkʲæ, kʰurkʲæ","hurka-watas, pʰurka-watas"
248,"under, bellow",,,"hɛʈʰ-ʌt̪, hɛʈ-ʌt̪ʰ",hɛʈot̪,hɛʈoʈ,,,
14096,"ice, snow",,,,hɛm,,,hɛm,
,palate,,,,,hot̪oloi,,hot̪olai,
