item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
614,210,196,bolevi,"n,, neut",urinal tract,,"bolevi, n,, neut. — urinal tract"
615,210,196,bo,"n., mas",O” father,(G. ha:p),"bo:, n., mas. - O” father (G. ha:p)"
616,210,196,bo:bo,"n., neut. (bo:ba:)",breast,(S. bubba 9283),"bo:bo:, n., neut. (bo:ba:) — breast (S. bubba 9283)"
617,210,196,bo:t,"n., neut",madness,,"bo:t, n., neut. — madness"
618,210,196,o:dan/bo: jan,"n., neut",food,(S. bo: Jana),"o:dan/bo: jan, n., neut. — food (S. bo: Jana)"
619,210,196,bo:ti,"n., neut",meat,,"bo:ti, n., neut. — meat"
620,210,196,bo:tt,"n., neut",a finger’s wideness,,"bo:tt, n., neut. — a finger’s wideness"
621,210,196,bo:g#,"n., neut","puja, worship",,"bo:g#, n., neut. — puja, worship"
622,210,196,bo:gdi,"n., fem. (bo:gdiye:)",she goat (OG. bokadaji >9312),,"bo:gdi, n., fem. (bo:gdiye:) — she goat (OG. bokadaji >9312)"
623,210,196,bo:gdo,"n., mas. (bo:gda:)",he goat,,"bo:gdo:, n., mas. (bo:gda:) — he goat"
624,211,197,bo:gdu,"n., neut",goat,,"bo:gdu, n., neut. ~ goat"
625,211,197,bo: jf,"n., neut",— 1. burden; 2. thing,(S. bi! >9245),"bo: jf, n., neut.-— 1. burden; 2. thing (S. bi! >9245)"
626,211,197,bo:m,"n., neut",mouth,,"bo:m, n., neut. — mouth"
627,211,197,dbo:nnika:r,"n., neut",ambulance,,"dbo:nnika:r, n., neut. - ambulance"
628,211,197,bol,"v., nce","speak, tell",(G. bolvii),"bol, v., nce. — speak, tell (G. bolvii)"
629,211,197,bo:li,"n., neut",speech,(G. M. bo:/i >9321),"bo:li, n., neut. — speech (G. M. bo:/i >9321)"
630,211,197,bo:lta:y,"v., ac",chatter,,"bo:lta:y, v., ac. — chatter"
631,211,197,bo:lra:k,"v., nc",inform,,"bo:lra:k, v., nc. — inform"
632,211,197,hoirrt jha:de,"n., neut",low spreading shrub,,"hoirrt jha:de, n., neut. ~ low spreading shrub"
633,211,197,dbutu,"n., neut",bundle,,"dbutu, n., neut. — bundle"
634,211,197,butto:dé,"n., neut",little,,"butto:dé, n., neut. — little"
635,211,197,dujjare,"n., neut",litte,,"dujjare, n., neut. — litte"
636,211,197,dudili,"n., neut",waterkit or bag,,"dudili, n., neut. — waterkit or bag"
637,211,197,buddidiya:. n,mas,- name of a god,,"buddidiya:. n., mas. —- name of a god"
638,211,197,buttu,"v., neut. (butta:)",corn,,"buttu, v., neut. (butta:) — corn"
639,211,197,budhiya,"n., fem",old woman,,"budhiya:, n., fem. - old woman"
640,211,197,budho,"n., mas. (budha:)",old man,(G. budhiyo >9271),"budho:, n., mas. (budha:) ~ old man (G. budhiyo >9271)"
641,211,197,dukkiye,"n., neut",heart,,"dukkiye:, n., neut. heart"
642,211,197,buktu,"n., neut",hunger,(G. bhu:kh@ %9284),"buktu, n., neut., — hunger (G. bhu:kh@ %9284)"
643,211,197,buguna: ja: je:r,"n., neut",- ornament for the feet,,"buguna: ja: je:r, n., neut. ~- ornament for the feet"
644,211,197,bugga:nupa:ni,"n., neut",water from the spring,,"bugga:nupa:ni, n., neut. — water from the spring"
645,211,197,buca,"n., neut",kiss,(S. bhicc >9489),"buca:, n., neut. — kiss (S. bhicc >9489)"
646,211,197,buca:kar,"v., nc",kiss,,"buca:kar, v., nc. — kiss"
647,211,197,bujt,adv,again,,"bujt, adv. ~ again"
648,211,197,bu jjahallebo:l,"v., nc",repeat,,"bu jjahallebo:l, v., nc. — repeat"
649,211,197,bufija:v,"v., c",cause to burn,,"bufija:v, v., c. — cause to burn"
650,211,197,buf je,"v-, nc",burn,,"buf je, v-, nc. — burn"
651,212,198,bula:y,"v., ne","invite, call",(G. bola:wit),"bula:y, v., ne. — invite, call (G. bola:wit)"
652,212,198,buls,"v., ne",forget,,"buls, v., ne. — forget"
653,212,198,bulbul,"n., neut","a bird, nightingale",(G. bulbul},"bulbul, n., neut. — a bird, nightingale (G. bulbul}"
654,212,198,bura:ndi,"n., neut","brandy, a kind of imtoxicating drink",,"bura:ndi, n., neut. — brandy, a kind of imtoxicating drink"
655,212,198,burbudu,"n., neut",drum (Fa. kutukutu~ppai DED 1382},,"burbudu, n., neut. — drum (Fa. kutukutu~ppai DED 1382}"
656,212,198,burbuduga:r,"0., mas",beggar,,"burbuduga:r, 0., mas, — beggar"
657,212,198,bu,"0., neut",- water (child speech),,"bu:, 0., neut. —- water (child speech)"
658,212,198,buivG,"o., neut",dragon-fly,,"buivG:, o., neut. ~ dragon-fly"
659,212,198,bu:ti,"n., neut., pl",herbs,(H. bu:fi),"bu:ti, n., neut., pl. ~ herbs (H. bu:fi)"
660,212,198,bu:hu,"n., neut",dust,(S. busa »9293),"bu:hu:, n., neut. — dust (S. busa »9293)"
661,212,198,bucndo,"n., neut",drops of liquid,(G. bund 9240),"bucndo:, n., neut. — drops of liquid (G. bund 9240)"
662,212,198,bu:rinedarkar,"v., nc",seduce,(G. phosla:vit),"bu:rinedarkar, v., nc. ~ seduce (G. phosla:vit)"
663,212,198,bhika:ri,"n., neut",begger,,"bhika:ri, n., neut. — begger"
664,212,198,bhim,"n., mas",name of a god,,"bhim, n., mas. — name of a god"
665,212,198,bhirka:y,"v., ne",fly,,"bhirka:y, v., ne. - fly"
666,212,198,bhi:t#,"n., neut",wall,(H. bhi:t),"bhi:t#, n., neut. — wall (H. bhi:t)"
667,212,198,bhi:gt,"n., neut",alms,"(G. bhi:kh, M. bhi:k 9485)","bhi:gt, n., neut. ~ alms (G. bhi:kh, M. bhi:k 9485)"
668,212,198,bhi:gma:ngt,"v., nc",beg,,"bhi:gma:ngt, v., nc. — beg"
669,212,198,bhi:r,"v., ne",stand,,"bhi:r, v., ne., — stand"
670,212,198,bhi:raiv,"v., c",cause to stand or errect,,"bhi:raiv, v., c, — cause to stand or errect"
