Status,Reason,Entry_Key,Site_Code,Site_Description,Language_ID,Base_Language,Concept,Gloss,Printed_Page,Column,Response_Index,Response_Count,Raw_Cell,Response,House_Form,Tags,Source
ingested,single response,beine-bhatri:BAU:24:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,24,feces,12,3,1,1,ɡue̠,ɡue̠,guə,,"beine2017bhatri[p. 12, item 24, site BAU]"
ingested,single response,beine-bhatri:BSA:24:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,24,feces,12,3,1,1,be̠̽dⁿarˑ,be̠̽dⁿarˑ,bə̃daṛ,,"beine2017bhatri[p. 12, item 24, site BSA]"
ingested,single response,beine-bhatri:BJE:24:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,24,feces,12,3,1,1,ɡu̽e̠,ɡu̽e̠,gũə,,"beine2017bhatri[p. 12, item 24, site BJE]"
ingested,single response,beine-bhatri:BKP:24:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,24,feces,12,3,1,1,be̠dⁿarˑa,be̠dⁿarˑa,bədaṛa,,"beine2017bhatri[p. 12, item 24, site BKP]"
ingested,single response,beine-bhatri:BUM:24:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,24,feces,12,3,1,1,dʒ̩harˑa,dʒ̩harˑa,jʰaṛa,,"beine2017bhatri[p. 12, item 24, site BUM]"
ingested,single response,beine-bhatri:BCB:24:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,24,feces,12,3,1,1,ɡu.̩,ɡu.̩,gu.,,"beine2017bhatri[p. 12, item 24, site BCB]"
ingested,single response,beine-bhatri:BAN:24:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,24,feces,12,3,1,1,ɡu,ɡu,gu,,"beine2017bhatri[p. 12, item 24, site BAN]"
ingested,single response,beine-bhatri:BAR:24:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,24,feces,12,3,1,1,ɡu,ɡu,gu,,"beine2017bhatri[p. 12, item 24, site BAR]"
ingested,single response,beine-bhatri:BAG:24:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,24,feces,12,3,1,1,ɡu,ɡu,gu,,"beine2017bhatri[p. 12, item 24, site BAG]"
ingested,single response,beine-bhatri:OAR:25:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,25,village,13,1,1,1,ɡurˑa,ɡurˑa,guṛa,,"beine2017bhatri[p. 13, item 25, site OAR]"
ingested,single response,beine-bhatri:OCU:25:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,25,village,13,1,1,1,ɡra.̩mo̽,ɡra.̩mo̽,gra.mõ,,"beine2017bhatri[p. 13, item 25, site OCU]"
ingested,single response,beine-bhatri:HBH:25:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,25,village,13,1,1,1,ɡa̽w,ɡa̽w,gãv,,"beine2017bhatri[p. 13, item 25, site HBH]"
ingested,single response,beine-bhatri:BAU:25:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,25,village,13,1,1,1,ɡa̽,ɡa̽,gã,,"beine2017bhatri[p. 13, item 25, site BAU]"
ingested,single response,beine-bhatri:BSA:25:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,25,village,13,1,1,1,ɡa̽o,ɡa̽o,gão,,"beine2017bhatri[p. 13, item 25, site BSA]"
ingested,single response,beine-bhatri:BJE:25:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,25,village,13,1,1,1,ɡa̽o,ɡa̽o,gão,,"beine2017bhatri[p. 13, item 25, site BJE]"
ingested,single response,beine-bhatri:BKP:25:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,25,village,13,1,1,1,ɡa̽,ɡa̽,gã,,"beine2017bhatri[p. 13, item 25, site BKP]"
ingested,single response,beine-bhatri:BUM:25:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,25,village,13,1,1,1,ɡa̽o,ɡa̽o,gão,,"beine2017bhatri[p. 13, item 25, site BUM]"
ingested,single response,beine-bhatri:BCB:25:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,25,village,13,1,1,1,ɡa̽o,ɡa̽o,gão,,"beine2017bhatri[p. 13, item 25, site BCB]"
ingested,single response,beine-bhatri:BAN:25:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,25,village,13,1,1,1,ɡa̽o,ɡa̽o,gão,,"beine2017bhatri[p. 13, item 25, site BAN]"
ingested,single response,beine-bhatri:BAR:25:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,25,village,13,1,1,1,ɡa̽vo,ɡa̽vo,gãvo,,"beine2017bhatri[p. 13, item 25, site BAR]"
