unit|region|pdf_page|form|gloss|context
t14:3sg:near:obl1|t14|18|räs|3 SG|case=obl1; person=3 SG; deixis=near; printed=räs
t14:3sg:near:obl2|t14|18|rä|3 SG|case=obl2; person=3 SG; deixis=near; printed=rä
t14:3sg:near:gen|t14|18|räsi|3 SG|case=gen; person=3 SG; deixis=near; printed=räsi
t14:3sg:far:nom|t14|18|soo|3 SG|case=nom; person=3 SG; deixis=far; printed=soo
t14:3sg:far:obl1|t14|18|täs|3 SG|case=obl1; person=3 SG; deixis=far; printed=täs
t14:3sg:far:obl2|t14|18|tä|3 SG|case=obl2; person=3 SG; deixis=far; printed=tä
t14:3sg:far:gen|t14|18|täsi|3 SG|case=gen; person=3 SG; deixis=far; printed=täsi
t14:1pl:nom|t14|18|bä|1 PL|case=nom; person=1 PL; printed=bä
t14:1pl:obl1|t14|18|asaa~|1 PL|case=obl1; person=1 PL; printed=asaa~
t14:1pl:obl2|t14|18|is|1 PL|case=obl2; person=1 PL; printed=is
t14:1pl:gen|t14|18|äsi|1 PL|case=gen; person=1 PL; printed=äsi
t14:2pl:nom|t14|18|tis|2 PL|case=nom; person=2 PL; printed=tis
t14:2pl:obl1|t14|18|tusaa~|2 PL|case=obl1; person=2 PL; printed=tusaa~
t14:2pl:obl2|t14|18|tis|2 PL|case=obl2; person=2 PL; printed=tis
t14:2pl:gen|t14|18|tusi|2 PL|case=gen; person=2 PL; printed=tusi
t14:3pl:near:obl1|t14|18|ränaa|3 PL|case=obl1; person=3 PL; deixis=near; printed=ränaa
t14:3pl:near:obl2|t14|18|rin|3 PL|case=obl2; person=3 PL; deixis=near; printed=rin
t14:3pl:near:gen|t14|18|räni|3 PL|case=gen; person=3 PL; deixis=near; printed=räni
t14:3pl:far:nom|t14|18|tin|3 PL|case=nom; person=3 PL; deixis=far; printed=tin, tän
t14:3pl:far:nom:a2|t14|18|tän|3 PL|case=nom; person=3 PL; deixis=far; printed=tin, tän
t14:3pl:far:obl1|t14|18|tänaa|3 PL|case=obl1; person=3 PL; deixis=far; printed=tänaa
t14:3pl:far:obl2|t14|18|tin|3 PL|case=obl2; person=3 PL; deixis=far; printed=tin, tän
t14:3pl:far:obl2:a2|t14|18|tän|3 PL|case=obl2; person=3 PL; deixis=far; printed=tin, tän
t14:3pl:far:gen|t14|18|tänaami|3 PL|case=gen; person=3 PL; deixis=far; printed=tänaami
