Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:c269b3d448,,ṣoɫán,Kho-Bashir-src-if,n,"a dish made by making pancakes of thin, leavened batter, then stirring and cooking over a low fire for a long time.",,141,128
variant,bashir:khowar:c269b3d448:variant:1,bashir:khowar:c269b3d448,ṣolán,Kho-Bashir-src-if,n,"a dish made by making pancakes of thin, leavened batter, then stirring and cooking over a low fire for a long time.",Other pronunciation of ṣoɫán: ṣolán,141,128
head,bashir:khowar:23a92c9377,,ṣoɫéṣp,Kho-Bashir-src-rakr|Kho-Bashir-src-sonoghor,n,glue made by boiling skins,"[< Skt. (M:1973), also (T12744)]",141,128
variant,bashir:khowar:23a92c9377:variant:1,bashir:khowar:23a92c9377,ṣoɫóṣp,Kho-Bashir-src-rakr|Kho-Bashir-src-sonoghor,n,glue made by boiling skins,Other pronunciation of ṣoɫéṣp: ṣoɫóṣp,141,128
head,bashir:khowar:63af71672c,,ṣompɫóqi,Kho-Bashir-src-tmf,adj,fully ripe (e.g. apricot),,141,128
subentry,bashir:khowar:63af71672c:subentry:1,bashir:khowar:63af71672c,ṣompɫoqí,Kho-Bashir-src-tmf,n,a fully ripe fruit,Subentry of ṣompɫóqi,141,128
head,bashir:khowar:b5dc57f9e4,,ṣongú,Kho,adj,"uncastrated (male animal), fit for mating/breeding",,141,128
head,bashir:khowar:678629ebd1,,ṣopán ṣopán hop,Kho-Bashir-src-swka,,be completely quiet!,,142,129
head,bashir:khowar:aefd5a9f23,,ṣoqeék,Kho-Bashir-src-rakr,intr verb,to get ready to cry (e.g. a small child),,142,129
variant,bashir:khowar:aefd5a9f23:variant:1,bashir:khowar:aefd5a9f23,ṣoqheék,Kho-Bashir-src-rakr,intr verb,to get ready to cry (e.g. a small child),Other pronunciation of ṣoqeék: ṣoqheék,142,129
head,bashir:khowar:9044211f8b,,ṣor,Kho-Bashir-src-swka|Kho-Bashir-src-wsic|Kho-Bashir-src-mnn,adj,salty,[< Ir. (Baghbidi 2006)],142,129
subentry,bashir:khowar:9044211f8b:subentry:1,bashir:khowar:9044211f8b,ṣorí,Kho-Bashir-src-swka|Kho-Bashir-src-wsic|Kho-Bashir-src-mnn,n,saltiness,Subentry of ṣor,142,129
head,bashir:khowar:9c2aa060fd,,ṣoráng,Kho-Bashir-src-akm,n,fragrant greens cooked as vegetable,,142,129
head,bashir:khowar:cbe5293d7b,,ṣórum,Kho-Bashir-src-if,n,species of plant used in cooking,,142,129
head,bashir:khowar:225dd49b64,,ṣoṣbuɫíru,Kho-Bashir-src-parwak,n,a ṣoṣp-like food given to women after childbirth,,142,129
head,bashir:khowar:dfaf57ead7,,ṣoṣp,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-bm,n,"stiff type of halwa, with walnuts added and slightly sweetened by including flour from sprouted wheat",[< Skt. (T12364) also cf. Wakhi ṣuṣp],142,129
subentry,bashir:khowar:dfaf57ead7:subentry:1,bashir:khowar:dfaf57ead7,ṣoṣp žoó,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-bm,n,dried sprouted wheat,Subentry of ṣoṣp,142,129
subentry,bashir:khowar:dfaf57ead7:subentry:2,bashir:khowar:dfaf57ead7,ẓoɫaṣóṣp,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-bm,n,ṣoṣp made with walnuts,Subentry of ṣoṣp,142,129
subentry,bashir:khowar:dfaf57ead7:subentry:3,bashir:khowar:dfaf57ead7,ṣoṣpkáɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-bm,n,"ṣoṣp when thin and soft, and not yet in firmly cooked state",Subentry of ṣoṣp,142,129
head,bashir:khowar:8273710ff9,,ṣotár,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,n,"dry, rocky part of a river bed; rocky flood plain",[< Prs. cf. Prs. šatt ‘river bank’],142,129
head,bashir:khowar:c0e09bbded,,ṣotkipót,Kho-Bashir-src-rakr,n,a Wakhi-speaking village,,142,129
head,bashir:khowar:cdbc544475,,ṣox,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,n,miser,,142,129
head,bashir:khowar:12eacdb6d3,,ṣoy¹,Kho-Bashir-src-if,n,species of wild greens,,142,129
head,bashir:khowar:12eacdb6d3,,ṣoy²,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka,adv,near,[< Skt. (T12684)],142,129
subentry,bashir:khowar:12eacdb6d3:subentry:1,bashir:khowar:12eacdb6d3,ṣoyeék,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka,tr intr verb,to come near to,Subentry of ṣoy²,142,129
head,bashir:khowar:36cd3370bf,,ṣu¹,Kho-Bashir-src-mnn,adj,crooked,,142,129
head,bashir:khowar:36cd3370bf,,ṣu²,Kho-Bashir-src-mnn,n,a layer of a rock that splits naturally into layers (e.g. slate),,142,129
subentry,bashir:khowar:36cd3370bf:subentry:1,bashir:khowar:36cd3370bf,ṣu nezík,Kho-Bashir-src-mnn,tr verb,to split a layer off a large piece of slate,Subentry of ṣu²,142,129
head,bashir:khowar:3fed1ea28e,,ṣuc̣,Kho-Bashir-src-mnn,n,village in Terich valley,,142,129
head,bashir:khowar:b28b957c53,,ṣuíč,Kho-Bashir-src-mnn|Kho-Bashir-src-iwk|Kho-Bashir-src-tmf|Kho-Bashir-src-iwa,n,species of sparrow with a red head,,142,129
head,bashir:khowar:b06abb37f3,,ṣuíst,Kho-Bashir-src-swka,n,village in Yarkhun,,142,129
subentry,bashir:khowar:b06abb37f3:subentry:1,bashir:khowar:b06abb37f3,ṣuistík,Kho-Bashir-src-swka,n,person from Shuist,Subentry of ṣuíst,142,129
