Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
subentry,bashir:khowar:768ef871fd:subentry:3,bashir:khowar:768ef871fd,ǰanǰalgói,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-swka,n,a bad-tempered person who quarrels at every occasion,Subentry of ǰanǰál,73,60
head,bashir:khowar:56236f5737,,ǰaṭhá,Kho-Bashir-src-rakr,adj,confused,,73,60
head,bashir:khowar:978d15a386,,ǰazír,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-mnn,adj,"out of order, broken, not working, not usable",,73,60
head,bashir:khowar:ebf07dc441,bashir:donor:Eng:3d802bf48b,ǰek,Kho-Bashir-src-mnn,n,jug,[< Eng. ‘jug’],73,60
head,bashir:khowar:22e929c3b1,,ǰer,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-ma|Kho-Bashir-src-ms,n,line,,73,60
head,bashir:khowar:2437440b9f,,ǰešṭán,Kho-Bashir-src-iwa|Kho-Bashir-src-rakr|Kho-Bashir-src-chitral-town,n,"supernatural entity, small in size",[from Lower Chitral area],73,60
variant,bashir:khowar:2437440b9f:variant:1,bashir:khowar:2437440b9f,ǰošṭán,Kho-Bashir-src-iwa|Kho-Bashir-src-rakr|Kho-Bashir-src-chitral-town,n,"supernatural entity, small in size",Other pronunciation of ǰešṭán: ǰošṭán (RAKR),73,60
subentry,bashir:khowar:2437440b9f:subentry:1,bashir:khowar:2437440b9f,ǰešṭáno ṭophí,Kho-Bashir-src-iwa|Kho-Bashir-src-rakr|Kho-Bashir-src-chitral-town|Kho-Bashir-reg-lower-chitral|Kho-Bashir-reg-chitral-town,n,cap of a ǰešṭán,Subentry of ǰešṭán,73,60
head,bashir:khowar:c57486bd1f,,ǰigár,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-zmz,n,liver,,73,60
subentry,bashir:khowar:c57486bd1f:subentry:1,bashir:khowar:c57486bd1f,ǰigarí,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-zmz,adj,purplish,Subentry of ǰigár,73,60
subentry,bashir:khowar:c57486bd1f:subentry:2,bashir:khowar:c57486bd1f,ǰigár pačéik,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-zmz,tr verb,to cook the liver,Subentry of ǰigár,73,60
head,bashir:khowar:affc73fbca,bashir:donor:Eng:5f78d47f7a,ǰil,Kho-Bashir-src-mnn,n,jail,[< Eng. ‘jail’],73,60
subentry,bashir:khowar:affc73fbca:subentry:1,bashir:khowar:affc73fbca,ǰilár nisík,Kho-Bashir-src-mnn,intr verb,to get out of jail,Subentry of ǰil,73,60
head,bashir:khowar:a89609eded,,ǰindá,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-ics|Kho-Bashir-src-zmz,n,patchwork garment worn by a faqír or mendicant,,73,60
variant,bashir:khowar:a89609eded:variant:1,bashir:khowar:a89609eded,žindá,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic|Kho-Bashir-src-ics|Kho-Bashir-src-zmz,n,patchwork garment worn by a faqír or mendicant,Other pronunciation of ǰindá: žindá (ICS) (ZMZ),73,60
head,bashir:khowar:e5d0bb4446,,ǰinǰirét,Kho-Bashir-src-mnn,n,a side valley in Lower Chitral on the right bank of the Chitral/Kunar River where a few people still speak Kalasha,,73,60
subentry,bashir:khowar:e5d0bb4446:subentry:1,bashir:khowar:e5d0bb4446,ǰinǰiretánu,Kho-Bashir-src-mnn,n,person from Jinjiret,Subentry of ǰinǰirét,73,60
head,bashir:khowar:4f510a2420,bashir:donor:Eng:38e192e6ac,ǰip¹,Kho-Bashir-src-mnn,n,jeep,[< Eng. ‘jeep’],73,60
head,bashir:khowar:4f510a2420,,ǰip²,Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,pocket,"[< Ar., Prs., Ur.]",73,60
head,bashir:khowar:ab154bf81b,,ǰir,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-swka,n,mixed ice and water in flowing water,,73,60
subentry,bashir:khowar:ab154bf81b:subentry:1,bashir:khowar:ab154bf81b,ǰiróγ,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-swka,n,partially frozen water,Subentry of ǰir,73,60
head,bashir:khowar:08bd462bc0,,ǰiráng,Kho-Bashir-src-rakr|Kho-Bashir-src-ms,adj,reddish (of horse),,73,60
head,bashir:khowar:103e7e6671,bashir:donor:Eng:2a974f3f0f,ǰirkén,Kho-Bashir-src-mnn,n,jerrycan,[< Eng. ‘jerrycan’],73,60
head,bashir:khowar:46dfd106ec,,ǰohǰú,Kho-Bashir-src-mnn,adj,twelve,,74,61
head,bashir:khowar:71187db523,,ǰorú,Kho-Bashir-src-if,n,a brush made of cow hair on a wooden handle,,74,61
head,bashir:khowar:58a6be1336,,ǰoš¹,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,adj,ten,[< Skt. (M:1973) (T10436)],74,61
head,bashir:khowar:58a6be1336,,ǰoš²,Kho-Bashir-src-mnn|Kho-Bashir-src-ifm|Kho-Bashir-src-tmf,n,fodder for livestock,[< Skt. (M:1973) (T6227)],74,61
subentry,bashir:khowar:58a6be1336:subentry:1,bashir:khowar:58a6be1336,ǰoš dreék,Kho-Bashir-src-mnn|Kho-Bashir-src-ifm|Kho-Bashir-src-tmf,tr verb,to feed livestock,Subentry of ǰoš²,74,61
subentry,bashir:khowar:58a6be1336:subentry:2,bashir:khowar:58a6be1336,ǰošaánu,Kho-Bashir-src-mnn|Kho-Bashir-src-ifm|Kho-Bashir-src-tmf,n,fodder store,Subentry of ǰoš²,74,61
subentry,bashir:khowar:58a6be1336:subentry:3,bashir:khowar:58a6be1336,ǰošmóš,Kho-Bashir-src-mnn|Kho-Bashir-src-ifm|Kho-Bashir-src-tmf,n,weeds,Subentry of ǰoš²,74,61
head,bashir:khowar:1351c7f1a8,,ǰoṣík,Kho-Bashir-src-swka|Kho-Bashir-src-rkb,tr verb,to consider,[< Skt. (T5271)],74,61
head,bashir:khowar:2e06f8b4c3,,ǰu,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn,adj,two,[< Skt. (M:1973) (T10489) (T6648)],74,61
variant,bashir:khowar:2e06f8b4c3:variant:1,bashir:khowar:2e06f8b4c3,ǰugálu,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn,adj,two,Other pronunciation of ǰu: ǰugálu (IF),74,61
variant,bashir:khowar:2e06f8b4c3:variant:2,bashir:khowar:2e06f8b4c3,ǰuʋáli,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn|Kho-Bashir-reg-lower-chitral,adj,two,Other pronunciation of ǰu: ǰuʋáli) (MNN: ǰu žun in Lower Chitral) ‘two persons’ (MNN); ‘both persons’ (MNN) < Skt. ǰuʋáṣki,74,61
subentry,bashir:khowar:2e06f8b4c3:subentry:1,bashir:khowar:2e06f8b4c3,ǰuɫínǰi,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn,adj,twofold,Subentry of ǰu,74,61
subentry,bashir:khowar:2e06f8b4c3:subentry:2,bashir:khowar:2e06f8b4c3,ǰusír,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn,n,two pairs of bulls,Subentry of ǰu,74,61
subentry,bashir:khowar:2e06f8b4c3:subentry:3,bashir:khowar:2e06f8b4c3,ǰuʋáṣki,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn|Kho-Bashir-reg-laspur|Kho-Bashir-reg-balim,n,"name of a field in Balim, Laspur",Subentry of ǰu,74,61
subentry,bashir:khowar:2e06f8b4c3:subentry:4,bashir:khowar:2e06f8b4c3,ǰuʋóli,Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-mak|Kho-Bashir-src-mnn,adj,two stranded,Subentry of ǰu,74,61
head,bashir:khowar:caf599b41b,,ǰudá,Kho-Bashir-src-mnn,adj,separate,[< Prs.],74,61
head,bashir:khowar:9517c5b53b,,ǰuft,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,n,a pair,,74,61
head,bashir:khowar:744096bd9f,,ǰumbaldéq,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,"goatskin bag, larger than ṣangaší",,74,61
head,bashir:khowar:2ae1f166be,,ǰunáli,Kho-Bashir-src-iwk|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,,polo ground,[< Prs.],74,61
variant,bashir:khowar:2ae1f166be:variant:1,bashir:khowar:2ae1f166be,ǰináli,Kho-Bashir-src-iwk|Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,,polo ground,"Other pronunciation of ǰunáli: ǰináli (IWK, IWA)",74,61
head,bashir:khowar:99b8dee0a6,,ǰunazá,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,n,dead body,"[< Prs., Ur.]",74,61
variant,bashir:khowar:99b8dee0a6:variant:1,bashir:khowar:99b8dee0a6,ǰunáza,Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,n,dead body,Other pronunciation of ǰunazá: ǰunáza,74,61
head,bashir:khowar:464d99e87b,,ǰurúni,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-zmz,n,curled tail feathers of a male mallard duck,,74,61
variant,bashir:khowar:464d99e87b:variant:1,bashir:khowar:464d99e87b,žurúni,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-zmz,n,curled tail feathers of a male mallard duck,Other pronunciation of ǰurúni: žurúni (MA),74,61
head,bashir:khowar:b36d6e7d54,,ǰust,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-wur,n,"a pair (goats, chicks) (íF); (adj)",,74,61
subentry,bashir:khowar:b36d6e7d54:subentry:1,bashir:khowar:b36d6e7d54,ǰust bik,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-wur,intr verb,"to meet someone on the road, and continue together",Subentry of ǰust,74,61
subentry,bashir:khowar:b36d6e7d54:subentry:2,bashir:khowar:b36d6e7d54,ǰusteék,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-wur,tr verb,to kill more than one duck with one shot,Subentry of ǰust,74,61
head,bashir:khowar:bd7118e9cc,,ǰustróγu,Kho-Bashir-src-ms,adj,parallel,,74,61
head,bashir:khowar:5dfed17051,,ǰušṭóro,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,n,"person who fancies himself a big man or leader, but in reality is not",,74,61
head,bashir:khowar:f71c28e03b,,ǰuṭilašṭ,Kho-Bashir-src-chitral-town,n,village in Lower Chitral,,74,61
head,bashir:khowar:0709e56d9d,,ǰuúr,Kho-Bashir-src-ms|Kho-Bashir-src-swka,n,acquaintance,[T10482],74,61
subentry,bashir:khowar:0709e56d9d:subentry:1,bashir:khowar:0709e56d9d,ǰuúr korík,Kho-Bashir-src-ms|Kho-Bashir-src-swka,intr tr verb,to sing in chorus in unison,Subentry of ǰuúr,74,61
subentry,bashir:khowar:0709e56d9d:subentry:2,bashir:khowar:0709e56d9d,ǰurí,Kho-Bashir-src-ms|Kho-Bashir-src-swka,n,friendship,Subentry of ǰuúr,74,61
head,bashir:khowar:1903c2f092,,ǰuʋári,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-ba|Kho-Bashir-src-iwa|Kho-Bashir-src-parwak,n,maize,[< Skt. (T10431],74,61
variant,bashir:khowar:1903c2f092:variant:1,bashir:khowar:1903c2f092,ǰoʋaráy,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-ba|Kho-Bashir-src-iwa|Kho-Bashir-src-parwak,n,maize,Other pronunciation of ǰuʋári: ǰoʋaráy (RAKR),74,61
subentry,bashir:khowar:1903c2f092:subentry:1,bashir:khowar:1903c2f092,ǰuʋaráy,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-ba|Kho-Bashir-src-iwa|Kho-Bashir-src-parwak,n,corn/maize bread,Subentry of ǰuʋári,74,61
subentry,bashir:khowar:1903c2f092:subentry:2,bashir:khowar:1903c2f092,ǰuʋári mul,Kho-Bashir-src-rakr|Kho-Bashir-src-mnn|Kho-Bashir-src-ba|Kho-Bashir-src-iwa|Kho-Bashir-src-parwak,n,maize flour boiled in water,Subentry of ǰuʋári,74,61
head,bashir:khowar:2cd645a85b,,ǰuʋarí gambúri,Kho-Bashir-src-booni|Kho-Bashir-src-mnn,n,species of lily,[< Turkic or Prs.],74,61
head,bashir:khowar:82cb8ceeac,,ka,Kho-Bashir-src-mnn|Kho-Bashir-src-ms,,who?,[< Skt. (M:1973) (T2574)],74,61
head,bashir:khowar:0898ca3ff4,,kaá,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-tmf,,someone,,74,61
head,bashir:khowar:9075a31512,,kargín,Kho-Bashir-src-swka,n,village in Tehsil Mastuj,,74,61
head,bashir:khowar:accfb3c55d,,kač¹,Kho-Bashir-src-swka,n,species of wild mountain greens,,75,62
head,bashir:khowar:accfb3c55d,,kač²,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-zhdm,n,raw silk,,75,62
subentry,bashir:khowar:accfb3c55d:subentry:1,bashir:khowar:accfb3c55d,kačgóγu,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-zhdm,n,silkworm,Subentry of kač²,75,62
subentry,bashir:khowar:accfb3c55d:subentry:2,bashir:khowar:accfb3c55d,kačgéni,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-zhdm,n,instrument/tool for spinning silk,Subentry of kač²,75,62
head,bashir:khowar:ac0be2a5e9,,kačkukúɫi,Kho-Bashir-src-mnn,n,"tadpole, immature stage of frog",,75,62
head,bashir:khowar:39ec238706,,kac̣át,Kho-Bashir-src-mys|Kho-Bashir-src-if,n,a signal,,75,62
head,bashir:khowar:00a0517940,,kaf-i-daryá,Kho-Bashir-src-if,n,a mineral used for medicinal purposes,[< Prs.],75,62
head,bashir:khowar:08f8e29231,,kafirpišál,Kho-Bashir-src-zk-tale,n,brave person,,75,62
variant,bashir:khowar:08f8e29231:variant:1,bashir:khowar:08f8e29231,kharpišaɫ,Kho-Bashir-src-zk-tale,n,brave person,Other pronunciation of kafirpišál: kharpišaɫ,75,62
head,bashir:khowar:102f300c9c,,kaγ,Kho-Bashir-src-mnn|Kho-Bashir-src-reshun,n,crow,[< Skt. (M:1973) (T2993)],75,62
subentry,bashir:khowar:102f300c9c:subentry:1,bashir:khowar:102f300c9c,kaγlíru,Kho-Bashir-src-mnn|Kho-Bashir-src-reshun,n,mica,Subentry of kaγ,75,62
head,bashir:khowar:0baa3a7ead,,kaγáz,Kho-Bashir-src-akm|Kho-Bashir-src-rkb,n,paper,[< Prs.],75,62
head,bashir:khowar:07613fbefc,,kahák,Kho-Bashir-src-mnn|Kho-Bashir-src-ma,n,hen,,75,62
head,bashir:khowar:d341b1a975,,kahč,Kho-Bashir-src-mnn,n,shoulder (of horse),,75,62
head,bashir:khowar:2a21fc2561,,káku,Kho-Bashir-src-rakr|Kho-Bashir-src-hur,n,bird,,75,62
head,bashir:khowar:449921df4a,,kal,Kho-Bashir-src-nkn,n,when,,75,62
head,bashir:khowar:449921df4a,,-kal,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,,behaves as a bound morpheme referring to a specific time,,75,62
variant,bashir:khowar:449921df4a:variant:1,bashir:khowar:449921df4a,lešudoyákal,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,,behaves as a bound morpheme referring to a specific time,Other pronunciation of -kal: lešudoyákal,75,62
subentry,bashir:khowar:449921df4a:subentry:1,bashir:khowar:449921df4a,lešudoyálak,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,n,cow-milking time,Subentry of -kal,75,62
subentry,bashir:khowar:449921df4a:subentry:2,bashir:khowar:449921df4a,lešuaʋerákal,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,n,time for cows to come home and be put in their stalls,Subentry of -kal,75,62
head,bashir:khowar:c58a1c73b2,,kalá,Kho-Bashir-src-laspur,n,sheep,,75,62
head,bashir:khowar:d522009ca6,,kalahúr,Kho-Bashir-src-if,n,cloves (spice),,75,62
head,bashir:khowar:59a9c986fd,,kálan uts,Kho-Bashir-src-sonoghor|Kho-Bashir-reg-sonoghor,n,a spring in Sonoghor,,75,62
head,bashir:khowar:425d503c40,,kalašnikóf,Kho-Bashir-src-swka,n,Kalashnikoff rifle,"[< Russian, Ur., Eng.]",75,62
head,bashir:khowar:70154614b0,,kaleér,Kho-Bashir-src-if,n,dead body,[< Skt. (T2656)],75,62
head,bashir:khowar:0fa88f11fc,,kalí,Kho-Bashir-src-mnn,n,"disinclination (to do something), laziness",,75,62
head,bashir:khowar:c7c91af642,bashir:donor:Eng:636ea5d0be,kalíǰ,Kho-Bashir-src-mnn,n,college,[< Eng. ‘college’],75,62
head,bashir:khowar:a2477fd0f0,,kalíp,Kho-Bashir-src-swka,n,wooden frame for measuring leather to make koón,,75,62
head,bashir:khowar:4043544ab7,,kalkanḍeér,Kho-Bashir-src-mnn,n,species of white-tailed bird which lives near rivers,,75,62
head,bashir:khowar:5e6c86b134,,kalkór,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-swka|Kho-Bashir-src-iwk,n,dove,,75,62
head,bashir:khowar:0dd5987107,,kaɫ,Kho-Bashir-src-swka,n,back (of body),,75,62
head,bashir:khowar:5c6af4dd18,,kaɫám,Kho-Bashir-src-swka|Kho-Bashir-src-mak|Kho-Bashir-src-rakr,n,vegetable resembling a turnip,,75,62
head,bashir:khowar:e6027d9c34,,kaɫbúki,Kho-Bashir-src-swka|Kho-Bashir-src-tmf,n,doll,,75,62
head,bashir:khowar:5dcd80c906,,kaɫí,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa|Kho-Bashir-src-mak|Kho-Bashir-src-if|Kho-Bashir-src-sonogor,,part of plow: two wooden sticks suspended from the yoke on the sides of the bull,,75,62
head,bashir:khowar:b5e65574a7,,káɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,dish made of strips of dough boiled in onion broth,,75,62
head,bashir:khowar:77497a9ee6,,kaɫúm,Kho-Bashir-src-rakr|Kho-Bashir-src-swka,n,verse,,75,62
head,bashir:khowar:e0a714ed54,,kam,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,,less,,75,62
variant,bashir:khowar:e0a714ed54:variant:1,bashir:khowar:e0a714ed54,kaméik,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,,less,Other pronunciation of kam: kaméik,75,62
subentry,bashir:khowar:e0a714ed54:subentry:1,bashir:khowar:e0a714ed54,kameék,Kho-Bashir-src-nkn|Kho-Bashir-src-swka,tr verb,to decrease something,Subentry of kam,75,62
head,bashir:khowar:e0a714ed54,,kam-,Kho-Bashir-src-swka,adj,adjective-forming prefixal morpheme meaning,[< Prs.],75,62
head,bashir:khowar:e05362628a,,kamaá,Kho-Bashir-src-mnn|Kho-Bashir-src-if|Kho-Bashir-src-swka,,how many?,,75,62
head,bashir:khowar:7c4b4861be,,kamál,Kho-Bashir-src-swka|Kho-Bashir-src-is,n,an amazing thing,,75,62
variant,bashir:khowar:7c4b4861be:variant:1,bashir:khowar:7c4b4861be,khamál,Kho-Bashir-src-swka|Kho-Bashir-src-is,n,an amazing thing,Other pronunciation of kamál: khamál (IS,75,62
head,bashir:khowar:242322d7d9,,kamarkisá,Kho-Bashir-src-rakr,n,waist pouch,,76,63
head,bashir:khowar:20f319a1a8,,kambóɫ,Kho-Bashir-src-rakr|Kho-Bashir-src-if,n,willow branch,,76,63
head,bashir:khowar:37c97bffc7,,kambóx,Kho-Bashir-src-mnn,n,a large thick tree branch,[< Skt. (M:1973) (T2766)],76,63
head,bashir:khowar:6787acad5c,bashir:donor:H:73d9dd2516,kamrá,Kho-Bashir-src-mnn,n,room,[< Ur. kamrā ‘room’],76,63
head,bashir:khowar:93f0360060,,kan,Kho-Bashir-src-mnn,n,tree,[< Skt. (M:1973) (T3023)],76,63
head,bashir:khowar:4d5500eea2,,kand,Kho-Bashir-src-swka,n,village in Yarkhun,,76,63
head,bashir:khowar:c860e1c81e,,kandáh,Kho-Bashir-src-if|Kho-Bashir-src-iwk|Kho-Bashir-src-zmz|Kho-Bashir-src-parwak,n,a stack of irregularly shaped rocks which are not useful for building,,76,63
variant,bashir:khowar:c860e1c81e:variant:1,bashir:khowar:c860e1c81e,kandá,Kho-Bashir-src-if|Kho-Bashir-src-iwk|Kho-Bashir-src-zmz|Kho-Bashir-src-parwak,n,a stack of irregularly shaped rocks which are not useful for building,Other pronunciation of kandáh: kandá,76,63
head,bashir:khowar:9995b6afcb,,kandrák,Kho-Bashir-src-swka|Kho-Bashir-src-if,n,melon vines,,76,63
variant,bashir:khowar:9995b6afcb:variant:1,bashir:khowar:9995b6afcb,kandraák,Kho-Bashir-src-swka|Kho-Bashir-src-if,n,melon vines,Other pronunciation of kandrák: kandraák,76,63
head,bashir:khowar:1e847f0907,,kándu,Kho-Bashir-src-chitral-town,n,wild almond,[< Skt. (M:1973) (T3030)],76,63
head,bashir:khowar:f429d101b5,,kandúri,Kho-Bashir-src-mnn,adj,how much?,[< Skt. (M:1973)],76,63
subentry,bashir:khowar:f429d101b5:subentry:1,bashir:khowar:f429d101b5,i kandúri,Kho-Bashir-src-mnn,adv,"about, approximately",Subentry of kandúri,76,63
head,bashir:khowar:ea3af55434,,kanḍól,Kho-Bashir-src-mak,n,worm inside a tree,,76,63
head,bashir:khowar:32e8c8b591,,kangál,Kho-Bashir-src-rakr,adj,partially mute (not completely γoṭ),[< Skt. (T2604)],76,63
head,bashir:khowar:2b562986ec,,kanṭéy,Kho-Bashir-src-rakr|Kho-Bashir-src-sonoghor|Kho-Bashir-reg-sonoghor,n,maize stalks,,76,63
head,bashir:khowar:c3a75c400a,,kánu,Kho-Bashir-src-mnn-wsic,adj,blind,[< Skt. (M:1973) (T3019)],76,63
head,bashir:khowar:ebbf33e702,,kap,Kho-Bashir-src-mnn|Kho-Bashir-src-arc,adj,bent,,76,63
subentry,bashir:khowar:ebbf33e702:subentry:1,bashir:khowar:ebbf33e702,kap korík,Kho-Bashir-src-mnn|Kho-Bashir-src-arc,tr verb,to bend gently,Subentry of kap,76,63
head,bashir:khowar:4bdfe6e1f6,,kapál,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rkb,n,head (of living being),[< Skt. (M:1973) (T2744)],76,63
subentry,bashir:khowar:4bdfe6e1f6:subentry:1,bashir:khowar:4bdfe6e1f6,kapála pong lakhík,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rkb,tr verb,to behave obstinately,Subentry of kapál,76,63
subentry,bashir:khowar:4bdfe6e1f6:subentry:2,bashir:khowar:4bdfe6e1f6,kapáltu kučhéik,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-rkb,tr intr verb,to scratch one,Subentry of kapál,76,63
head,bashir:khowar:861c586fb2,,kapí,Kho-Bashir-src-swka,n,notebook,"[< Eng., Ur. ‘copy’(book)]",76,63
head,bashir:khowar:da131930e1,,kaphéni,Kho-Bashir-src-ms|Kho-Bashir-src-mnn,n,wooden vessel in which cooked bread is placed,,76,63
head,bashir:khowar:c842581985,,kaphoóɫ,Kho-Bashir-src-mnn,n,traditional Chitrali men,,76,63
head,bashir:khowar:e3da1e8283,,kar,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,ear,[< Skt. (T3056)],76,63
subentry,bashir:khowar:e3da1e8283:subentry:1,bashir:khowar:e3da1e8283,kar korík,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,tr verb,to listen to,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:2,bashir:khowar:e3da1e8283,karadreéni,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,earrings,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:3,bashir:khowar:e3da1e8283,karadíni,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,earphones,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:4,bashir:khowar:e3da1e8283,karodíni,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,hearing aid,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:5,bashir:khowar:e3da1e8283,karkoríni,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,earphones,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:6,bashir:khowar:e3da1e8283,karineéni,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,n,earring,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:7,bashir:khowar:e3da1e8283,loṭkéri,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,adj,stupid,Subentry of kar,76,63
subentry,bashir:khowar:e3da1e8283:subentry:8,bashir:khowar:e3da1e8283,karatoríru,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-rakr|Kho-Bashir-src-rakrw|Kho-Bashir-src-mys|Kho-Bashir-src-if|Kho-Bashir-src-tmf,adj,hearsay,Subentry of kar,76,63
