Upstream_ID,NameInSource,Glottocode,Form_Count,Imported,Parent_ID,Parent_Name,Decision
KHANDESI,K’āndēšī,khan1272,231,No,,,no existing parent
BHILI,B’īlī,bhil1251,249,No,,,no existing parent
EASTERNPAHARIORKHASKURA,Eastern Pahāṛī/K’as-kurā,nepa1254,218,Yes,N,Nepali,unique existing-language name
CENTRALPAHARIKUMAUNI,"Central Pahāṛī, Kumaunī",kuma1273,182,Yes,Ku,Kumaoni,unique existing-language name
GARHWALI,Gaṛ’wālī,garh1243,185,Yes,Garh,Garhwali,unique existing-language name
WESTERNPAHARIJAUNSARI,"Western Pahāṛī, Jaunsārī",jaun1243,217,Yes,jaun,Jaunsari,unique existing-language name
SIRMAURI,Sirmaurī,sirm1239,173,Yes,sirm,Sirmauri,unique existing-language name
BAGHATI,Bag’āṭī,bagh1249,191,Yes,ba,Baghi,manual historical/dialect mapping
KIUTHALI,Kiū̃ṭ’alī,kiun1241,190,Yes,kiuth,Kiunthali,unique existing-language name
SHODOCHI,Šǒdōchī,maha1287,206,Yes,sod,Shodochi,manual historical/dialect mapping
KULUI,Kuḷuī,kllu1238,213,Yes,kul,Kullui,unique existing-language name
MANDEALI,Maṇḍěāḷī,mand1409,183,Yes,mand,Mandeali,unique existing-language name
CHAMEALI,Chaměaḷī,cham1307,180,Yes,cam,Chambeali,unique existing-language name
GADI,Gādī,gadi1238,195,Yes,ga,Gaddi,manual historical/dialect mapping
PANGWALI,Paṅgwāḷī,pang1282,200,Yes,pan,Pangwali,manual historical/dialect mapping
BHADRAWAHI,B’adrawāhī,bhad1241,206,Yes,bhad,Bhadrawahi,unique existing-language name
PADARI,Pāḍarī,pada1256,183,Yes,Pah,Pahari,manual historical/dialect mapping
