LSI-SHIYNI,,pinz,Five,,pin̪z,,"grierson-lsi1928[p. 10-11, form SHIYNI-5_five-1, concept 5_five]",,,grierson-lsi1928:SHIYNI-5_five-1,,,,
LSI-SARIKOLI,,pinz,Five,,pin̪z,,"grierson-lsi1928[p. 10-11, form SARIKOLI-5_five-1, concept 5_five]",,,grierson-lsi1928:SARIKOLI-5_five-1,,,,
LSI-ISHKASHMIZEBAKI,,pūnz,Five,,puːn̪z,,"grierson-lsi1928[p. 10-11, form ISHKASHMIZEBAKI-5_five-1, concept 5_five]",,,grierson-lsi1928:ISHKASHMIZEBAKI-5_five-1,,,,
LSI-MUNJANIORMUNGI,,pānj,Five,,pʌːn̪dʒ,,"grierson-lsi1928[p. 10-11, form MUNJANIORMUNGI-5_five-1, concept 5_five]",,,grierson-lsi1928:MUNJANIORMUNGI-5_five-1,,,,
LSI-YUDYA,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form YUDYA-5_five-1, concept 5_five]",,,grierson-lsi1928:YUDYA-5_five-1,,,,
LSI-BASHGALI,,puch,Five,,putʃ,,"grierson-lsi1928[p. 10-11, form BASHGALI-5_five-1, concept 5_five]",,,grierson-lsi1928:BASHGALI-5_five-1,,,,
LSI-WAIALA,,pūch,Five,,puːtʃ,,"grierson-lsi1928[p. 10-11, form WAIALA-5_five-1, concept 5_five]",,,grierson-lsi1928:WAIALA-5_five-1,,,,
LSI-WASIVERIORVERON,,uch,Five,,utʃ,,"grierson-lsi1928[p. 10-11, form WASIVERIORVERON-5_five-1, concept 5_five]",,,grierson-lsi1928:WASIVERIORVERON-5_five-1,,,,
LSI-KALASHA,,pōnj,Five,,poːn̪dʒ,,"grierson-lsi1928[p. 10-11, form KALASHA-5_five-1, concept 5_five]",,,grierson-lsi1928:KALASHA-5_five-1,,,,
LSI-GAWARBATI,,panṯs̱,Five,,pʌn̪ts,,"grierson-lsi1928[p. 10-11, form GAWARBATI-5_five-1, concept 5_five]",,,grierson-lsi1928:GAWARBATI-5_five-1,,,,
