Badaga,d1,a-,"that one; remote demonstrative (in space, time or context)",,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,Hockings and Pilot-Raichoor cite DEDR 1,hockings-pilotraichoor1992:p3:c1:y0111,,,,demonstrative
Badaga,d308,ae,"den of wild animals, tiger's lair",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,(ÆEmeneau 1939: 44-45 recorded áé); Hockings and Pilot-Raichoor cite DEDR 308,hockings-pilotraichoor1992:p4:c1:y0128,,,,noun uncertain
Badaga,d3999,aetu,old things Emeneau 1939:45 recorded håčtu; a:yi/ ha:li/ ha:yi),,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,Hockings and Pilot-Raichoor cite DEDR 3999,hockings-pilotraichoor1992:p4:c1:y0162,,,,noun uncertain alternate
Badaga,,haetu,old things Emeneau 1939:45 recorded håčtu; a:yi/ ha:li/ ha:yi),,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,Printed alternate of aetu,hockings-pilotraichoor1992:p4:c1:y0162:variant:1,hockings-pilotraichoor1992:p4:c1:y0162,,,noun uncertain alternate
Badaga,,akanṭa pe:ranṭa,"vast, unfragmentary and omnipresent (Lingayat usage; echo-words)",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,,hockings-pilotraichoor1992:p4:c1:y0195,,,,adj uncertain
Badaga,,akasu,"white wattle, European mimosa, silver wattle, silvery bipinnate wattle",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(Acacia dealbata, the bark of which is used industrially; Kunde dial.; elsewhere called sauku, si:ge, Hooker 1872-97: II, 292; Francis 1908: 213-17; Fyson 1915: 128; Lushington 1915: 265; Gamble 1922: 301; Fyson 1932: 186; Krishnamurthi 1953: 33-34, 201-02, 236-38; Gamble & Fischer 1956-57: 304; < Eng. acacia)",hockings-pilotraichoor1992:p4:c1:y0227,,,,noun uncertain
Badaga,d23,akka,"1. sister, elder sister; 2. father’s brother’s daughter, mother’s sisters daughter, wife’s elder sister, wife’s father’s sister (if older than Ego), son’s wife’s mother ; 3. respectful term of address for women; 4. stone sacred to the goddess Hette and so treated as a shrine",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(cf. dolli); (only found in the head village of a commune; cf. akka gudi, akka bakka); Hockings and Pilot-Raichoor cite DEDR 23",hockings-pilotraichoor1992:p4:c1:y0355,,,,noun uncertain
Badaga,d23,akka gudi,stone sacred to the goddess Hette and so treated as a shrine,,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(only found in the head village of a commune; also called akka, ajji gudi, Hette gudi, cf. akka bakka); Hockings and Pilot-Raichoor cite DEDR 23, 1655",hockings-pilotraichoor1992:p4:c1:y0509,,,,noun uncertain
Badaga,d1655,akka gudi,stone sacred to the goddess Hette and so treated as a shrine,,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(only found in the head village of a commune; also called akka, ajji gudi, Hette gudi, cf. akka bakka); Hockings and Pilot-Raichoor cite DEDR 23, 1655",hockings-pilotraichoor1992:p4:c1:y0509:link:2,,,,noun uncertain
Badaga,d23,akka tange,"sisters, elder and younger sisters",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(cf. doḷJi); Hockings and Pilot-Raichoor cite DEDR 23, 3015",hockings-pilotraichoor1992:p4:c1:y0574,,,,noun uncertain
Badaga,d3015,akka tange,"sisters, elder and younger sisters",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(cf. doḷJi); Hockings and Pilot-Raichoor cite DEDR 23, 3015",hockings-pilotraichoor1992:p4:c1:y0574:link:2,,,,noun uncertain
