luwati,1697,ūɗetū,fly,,uɗetu,,maimani,,,legacy:20230524-sindhic:row:62,,,,
maimani,,paj,foot,,padʒ,,maimani,,,legacy:20230524-sindhic:row:63,,,,
luwati,7766,paɠ,foot,,paɠ,,maimani,,,legacy:20230524-sindhic:row:64,,,,
maimani,9397,barjyūh,full,,bardʒjuh,,maimani,,,legacy:20230524-sindhic:row:65,,,,
luwati,,jakkār,full,,dʒakka:r,,maimani,,,legacy:20230524-sindhic:row:66,,,,
maimani,6140,ɗyetuh,give,,ɗjetʊh,,maimani,,,legacy:20230524-sindhic:row:67,,,,
luwati,6140,ɗyetu,give,,ɗjetʊ,,maimani,,,legacy:20230524-sindhic:row:68,,,,
maimani,,ūñcūh,good,,uɲtʃuh,,maimani,,,legacy:20230524-sindhic:row:69,,,,
luwati,,ūñcū,good,,uɲtʃu,,maimani,,,legacy:20230524-sindhic:row:70,,,,
maimani,e68,śarbī,grease,,ʃarbi,,maimani,,,legacy:20230524-sindhic:row:71,,,,
luwati,e68,carbī,grease,,tʃarbi,,maimani,,,legacy:20230524-sindhic:row:72,,,,
maimani,12672,sāv,green,,sa:w,,maimani,,,legacy:20230524-sindhic:row:73,,,,
luwati,12672,sāv,green,,sa:w,,maimani,,,legacy:20230524-sindhic:row:74,,,,
maimani,11572,vār,hair,,wa:r,,maimani,,,legacy:20230524-sindhic:row:75,,,,
luwati,11572,vāra,hair,,wa:ra,,maimani,,,legacy:20230524-sindhic:row:76,,,,
maimani,14024,hatʰ,hand,,hatʰ,,maimani,,,legacy:20230524-sindhic:row:77,,,,
luwati,14024,hatʰ,hand,,hatʰ,,maimani,,,legacy:20230524-sindhic:row:78,,,,
maimani,9926,matʰū,head,,matʰu,,maimani,,,legacy:20230524-sindhic:row:79,,,,
luwati,9926,matʰū,head,,matʰu,,maimani,,,legacy:20230524-sindhic:row:80,,,,
