bumb,,amál dyek,To come or begin (of the equinox),,,verb; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-77,,,,
bumb,,amál mastrúk,The first month of spring,,,noun; Trail & Cooper PDF p. 35 (printed p. 5); Variant: hamál mastrúk.,trail-cooper1999,,,tc-entry-78,,,,
bumb,,amál,Habit,,,noun; Trail & Cooper PDF p. 35 (printed p. 5); Variant: hamál.; From: Arabic.,trail-cooper1999,,,tc-entry-79,,tc-loan-Arabic,,loan:Arabic
bumb,,amál kárik,"To practice, to do habitually",,,verb; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-80,,,,
bumb,,amalí,Habitual,,,adj; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-81,,,,
bumb,,áman,"Peace, lack of war, subsiding of an event",,,noun; Trail & Cooper PDF p. 35 (printed p. 5); From: Arabic.,trail-cooper1999,,,tc-entry-82,,tc-loan-Arabic,,loan:Arabic
bumb,,áman hik,To subside,,,verb; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-83,,,,
bumb,,áman kárik,To make peace,,,verb; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-84,,,,
bumb,,amanát,Entrusted,,,adj; Trail & Cooper PDF p. 35 (printed p. 5); From: Arabic.,trail-cooper1999,,,tc-entry-85,,tc-loan-Arabic,,loan:Arabic
bumb,,amátak sáras,Ceremony at end of Chawmos (winter festival) to end sexual abstinence,,,noun; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-86,,,,
bumb,,amát...haw,Perhaps,,,adv; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-87,,,,
bumb,,ámbak,Very filling (of food),,,adj; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-88,,,,
bumb,,ambọ́i,"Lazy, ineffective, weak",,,adj; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-89,,,,
bumb,,ambúr,"Pliers, forceps",,,noun; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-90,,,,
bumb,,ambúr géci dyek,To be very dark,,,idiom; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-91,,,,
bumb,,amčhék,To fit together,,,verb; Trail & Cooper PDF p. 35 (printed p. 5); Prdm: Causative I ( sawzék ).,trail-cooper1999,,,tc-entry-92,,,,
bumb,,amčhónu,1) Joint of wood or other material,,,noun; Trail & Cooper PDF p. 35 (printed p. 5),trail-cooper1999,,,tc-entry-93,,,,
bumb,10310,amẹ̃́a,1) Sheep,,,noun; Trail & Cooper PDF p. 35 (printed p. 5); Turner etymology T-10310,trail-cooper1999,,Trail & Cooper Etym: me2Nḍha- ‘ram’ T-10310.,tc-entry-94,,,,
bumb,,amẹ̃́a ku,Pen for sheep in barn.,,,noun; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-95,,,,
bumb,,amẹ̃́yak,"Lamb (one to five months old, male or female)",,,noun; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-96,,,,
bumb,,amẹ̃́yak nisikéyn,The womb of a ewe,,,noun; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-97,,,,
bumb,,amẹ̃óst,Sheepskin,,,noun; Trail & Cooper PDF p. 36 (printed p. 6); Morph: amẹ̃́a post.,trail-cooper1999,,,tc-entry-98,,,tc-entry-94|tc-entry-4233,morphology
bumb,,amín,,,,Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-99,,,,
bumb,,amišáw,The house for shepherds in the high pastures,,,noun; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-100,,,,
bumb,,amištyónu,Cheese dish of,,,noun; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-101,,,,
bumb,566,amitrá,Disobedient,,,adj; Trail & Cooper PDF p. 36 (printed p. 6); Variant: amétra.; Turner etymology T-566,trail-cooper1999,,Trail & Cooper Etym: amítra- ‘enemy’ T-566.,tc-entry-102,,,,
bumb,,amóndra,Disobedient and disrespectful,,,adj; Trail & Cooper PDF p. 36 (printed p. 6); Morph: a-mondr.,trail-cooper1999,,,tc-entry-103,,,tc-entry-3403,morphology
bumb,,ámur kárik,"To command, order",,,verb; Trail & Cooper PDF p. 36 (printed p. 6); From: Arabic.,trail-cooper1999,,,tc-entry-104,,tc-loan-Arabic,,loan:Arabic
bumb,,an,"Mountain pass, boundary",,,noun; Trail & Cooper PDF p. 36 (printed p. 6); From: Khowar.,trail-cooper1999,,,tc-entry-105,,tc-loan-Khowar,,loan:Khowar
bumb,,-an,Because,,,suffix; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-106,,,,
bumb,,anácụi,The impure area in a graveyard where women who die in childbirth are buried,,,noun; Trail & Cooper PDF p. 36 (printed p. 6); Variant: anáchu.,trail-cooper1999,,,tc-entry-107,,,,
bumb,,andáy,"Here, in here",,,adv; Trail & Cooper PDF p. 36 (printed p. 6); Variant: ánda (Birir).,trail-cooper1999,,,tc-entry-108,,,,
bir,,ánda,"Here, in here",,,dialect variant of andáy; Birir; Trail & Cooper PDF p. 36 (printed p. 6); Variant: ánda (Birir).,trail-cooper1999,,,tc-entry-108-variant-1,tc-entry-108,,,dialect-variant
bumb,,andáy kárik,To put something here or give to speaker,,,verb; Trail & Cooper PDF p. 36 (printed p. 6),trail-cooper1999,,,tc-entry-109,,,,
bumb,,andayalía,In the direction of the speaker,,,adv; Trail & Cooper PDF p. 36 (printed p. 6); Morph: and-ay-ali-a.,trail-cooper1999,,,tc-entry-110,,,,morphology
bumb,,andayhák,"Near to speaker, here",,,adv; Trail & Cooper PDF p. 36 (printed p. 6); Morph: and-ay-ha-k.,trail-cooper1999,,,tc-entry-111,,,tc-entry-1924,morphology
bumb,,andéy,1) From here,,,adv; Trail & Cooper PDF p. 37 (printed p. 7); Variant: andyéy.,trail-cooper1999,,,tc-entry-112,,,,
bumb,,andyéy pištyák,"After this, from now on, hereafter",,,adv; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-113,,,,
bumb,,andáz kárik,To aim something at something,,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-114,,,,
bumb,,andazaí,"Average size or number of, some (not much, not little)",,,adj; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-115,,,,
bumb,,andéna,"From here, local",,,adv; Trail & Cooper PDF p. 37 (printed p. 7); Variant: anéna (Birir).,trail-cooper1999,,,tc-entry-116,,,,
bir,,anéna,"From here, local",,,dialect variant of andéna; Birir; Trail & Cooper PDF p. 37 (printed p. 7); Variant: anéna (Birir).,trail-cooper1999,,,tc-entry-116-variant-1,tc-entry-116,,,dialect-variant
bumb,,andiaḷáy,Around this area,,,adv; Trail & Cooper PDF p. 37 (printed p. 7); Morph: anday aḷay.,trail-cooper1999,,,tc-entry-117,,,,morphology
bumb,,anéna,,,,Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-118,,,,
bumb,,aníš,The village of Anish in Bumburet,,,noun; Trail & Cooper PDF p. 37 (printed p. 7); Variant: anís.,trail-cooper1999,,,tc-entry-119,,,,
bumb,,anjárum,Clothing,,,noun; Trail & Cooper PDF p. 37 (printed p. 7); From: Khowar.,trail-cooper1999,,,tc-entry-120,,tc-loan-Khowar,,loan:Khowar
bumb,,anjíl,Measure of one handful,,,noun; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-121,,,,
bumb,299,anóra,Hunger,,,noun; Trail & Cooper PDF p. 37 (printed p. 7); Variant: anára (Urtsun).; Turner etymology T-299,trail-cooper1999,,Trail & Cooper Etym: ana2ha2ra- ‘abstaining from food’ T-299.,tc-entry-122,,,,
urt,299,anára,Hunger,,,dialect variant of anóra; Urtsun; Trail & Cooper PDF p. 37 (printed p. 7); Variant: anára (Urtsun).,trail-cooper1999,,Trail & Cooper Etym: ana2ha2ra- ‘abstaining from food’ T-299.,tc-entry-122-variant-1,tc-entry-122,,,dialect-variant
bumb,,anóra kárik,To be hungry,,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-123,,,,
bumb,,anpáḷ,Illiterate,,,adj; Trail & Cooper PDF p. 37 (printed p. 7); From: Urdu.,trail-cooper1999,,,tc-entry-124,,tc-loan-Urdu,,loan:Urdu
bumb,,anzék,To send something,,,verb; Trail & Cooper PDF p. 37 (printed p. 7); Prdm: Causative I ( sawzék ).; From: Khowar.,trail-cooper1999,,,tc-entry-125,,tc-loan-Khowar,,loan:Khowar
bumb,,aŋgá,"Awake, alert, aware",,,adj; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-126,,,,
bumb,,aŋgá hek,1) To awaken someone,,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-127,,,,
bumb,,aŋgá hik,"1) To stay awake or alert, wake up",,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-128,,,,
bumb,,aŋgá kárik,"To warn someone, alert",,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-129,,,,
bumb,125,aŋgár,Fire,,,noun; Trail & Cooper PDF p. 37 (printed p. 7); Turner etymology T-125,trail-cooper1999,,Trail & Cooper Etym: áŋga2ra- ‘glowing charcoal’ T-125.,tc-entry-130,,,,
bumb,,aŋgár hik,1) To be angry,,,verb; Trail & Cooper PDF p. 37 (printed p. 7),trail-cooper1999,,,tc-entry-131,,,,
