Mai-Jijal,9990,ʌṅgɑ̄̀r-phuṇḍíri,a ﬁreﬂy,,,"f; derived; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅgɑ̄̀r-phuṇḍíri, -àh (n2); dictionary POS: n.f",zoller2005,,← ʌṅgɑ̄̀r and phùṇḍ˚. The ﬁnal syllable -íri < OIA -kara- as in *mākṣikakara- (9990).
Mai-Jijal,,ʌṅguíli,a ﬁnger-ring,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅguíli, ʌṅguilià; dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌṅguilià,a ﬁnger-ring,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅguíli, ʌṅguilià; dictionary POS: n.f",zoller2005,,
Mai-Jijal,135,ʌṅgùī,ﬁnger,,,"derived; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgùī, -ah (J); ʌṅgùi (Š)",zoller2005,,"← Perṣ (Aṛ) šahādat ‘evidence, testimony, witness’) (same as Phal. šahādat’ī ang‘uṛi ‘index ﬁnger of right hand’). The ﬁrst elements of the two last formations end in genitive -ṣ Same as G haṅgúi. < *aṅgūḍi- (135)."
Mai-Shatot,135,ʌṅgùi,ﬁnger,,,"derived; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgùī, -ah (J); ʌṅgùi (Š)",zoller2005,,"← Perṣ (Aṛ) šahādat ‘evidence, testimony, witness’) (same as Phal. šahādat’ī ang‘uṛi ‘index ﬁnger of right hand’). The ﬁrst elements of the two last formations end in genitive -ṣ Same as G haṅgúi. < *aṅgūḍi- (135)."
Mai-Jijal,65,ʌṅgēṭʌ́y,a forge (of a smith); a round iron stove,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgēṭʌ́y; dictionary POS: n.f",zoller2005,,< agniṣṭhá- (65).
Mai-Jijal,,ʌṅgʌ̀ṽ,thumb,,,"m; derived; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š); dictionary POS: n.m",zoller2005,,← ʌṅgùī.
Mai-Shatot,,ʌṅgʌ̀ṽ,thumb,,,"m; derived; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgṑ; ʌṅgʌ̀ṽ (J, Š); dictionary POS: n.m",zoller2005,,← ʌṅgùī.
bhatr,118,áṅgō̃,a courtyard,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: áṅgō̃ 1 (B); dictionary POS: n.m",zoller2005,,< aṅgana- (118).
bhatr,,aṅgō̃̀ d̀ïs,day before yesterday,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: aṅgō̃̀ 2 d̀ïs (B); dictionary POS: n.m",zoller2005,,
bhatr,138,aṅgṭhùi,a ring,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: aṅgṭhùi (B); dictionary POS: n.f",zoller2005,,< *aṅguṣṭhiya- (138).
Mai-Jijal,137,aṅgṭhṑ,big toe,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: aṅgṭhṑ; obl.pl. aṅgṭhō̃̀; dictionary POS: n.m",zoller2005,,< aṅguṣṭhá- (137).
Mai-Jijal,,ʌṅgrḕz,a foreigner,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G); dictionary POS: n.m",zoller2005,,
Gowro,,ʌṅgrēz,a foreigner,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: ʌṅgrḕz, -ah (occasionally also with Perṣ pl. ʌṅgrēzɑ̄̀n) (J); ʌṅgrēz (G); dictionary POS: n.m",zoller2005,,
Mai-Jijal,142,ʌ̀ċh,light (weight),,,"adj; Zoller 2005 ch. 4, p. 64; dictionary head: ʌ̀ċh (J); dictionary POS: adj.m",zoller2005,,< accha-1 (142).
Mai-Jijal,4564,ʌċhákh,bad; painful,,,"adj; Zoller 2005 ch. 4, p. 64; dictionary head: ʌċhákh (J); dictionary POS: adj.m",zoller2005,,< caṅga- (4564) with privative.
Mai-Jijal,,ʌċhɑ̄̀r,(a place which is usually) shady,,,"adj; Zoller 2005 ch. 4, p. 64; dictionary head: ʌċhɑ̄̀r; dictionary POS: adj",zoller2005,,
Mai-Jijal,30,ʌčhɑ̄̀r,a type of big coniferous tree,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ʌčhɑ̄̀r; dictionary POS: n.f",zoller2005,,< *akṣadāruka- (30).
Mai-Jijal,1025,àc̣h,a kind of edible black berry,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: àc̣h; dictionary POS: n.m",zoller2005,,< ākṣika- (1025).
Gowro,,ac̣kū́,eyelid,,,"m; derived; compound; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣kū́, ac̣kúi (G); dictionary POS: n.m",zoller2005,,← ayc̣i plus ? Cf. nexṭ
Gowro,,ac̣kúi,eyelid,,,"m; derived; compound; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣kū́, ac̣kúi (G); dictionary POS: n.m",zoller2005,,← ayc̣i plus ? Cf. nexṭ
Gowro,,ac̣kṓaṇi,winking (with the eyes),,,"f; derived; compound; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣kṓaṇi (G); dictionary POS: n.f",zoller2005,,← ayc̣i plus ? Same meaning as J ʌ̃ṣkṑ.
Gowro,,ac̣kṓaṇi diō̃́,"to wink at s.o., give s.o. a wink",,,"Zoller 2005 ch. 4, p. 64; dictionary head: + diō̃́",zoller2005,,
Mai-Shatot,,ac̣hʌ̀y,an apricot,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣hʌ̀y, ac̣hḕ (Š); dictionary POS: n.f",zoller2005,,
Mai-Shatot,,ac̣hḕ,an apricot,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣hʌ̀y, ac̣hḕ (Š); dictionary POS: n.f",zoller2005,,
Gowro,1025,ac̣háv,a sour variety of strawberry (or tamarind?),,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣háv, ac̣hḗh (G); dictionary POS: n.f",zoller2005,,< ākṣika- (1025). Cf. next and J àc̣h and ã̀ṣ.
Gowro,1025,ac̣hḗh,a sour variety of strawberry (or tamarind?),,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ac̣háv, ac̣hḗh (G); dictionary POS: n.f",zoller2005,,< ākṣika- (1025). Cf. next and J àc̣h and ã̀ṣ.
Mai-Shatot,48,ʌc̣hṓ,a walnut,,,"Zoller 2005 ch. 4, p. 64; dictionary head: ʌc̣hṓ, -ʒ̀ (Š); ac̣hǜ;; dictionary POS: obl.sg",zoller2005,,< akṣoṭa- (48).
Mai-Jijal,,àzʌynā̃,from there,,,"adv; derived; Zoller 2005 ch. 4, p. 64; dictionary head: àzʌynā̃; dictionary POS: adv",zoller2005,,← ʌ̀s zḗ nā̃́ 3.
Gowro,,ázʌr,a solar eclipse,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: ázʌr, azráh (G); dictionary POS: n.m",zoller2005,,
Gowro,,azráh,a solar eclipse,,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: ázʌr, azráh (G); dictionary POS: n.m",zoller2005,,
Mai-Jijal,,ʌzɑ̄̀th karʌ́ṽ,to open (the lock of a canal),,,"Zoller 2005 ch. 4, p. 64; dictionary head: ʌzɑ̄̀th karʌ́ṽ",zoller2005,,
Mai-Jijal,,ʌ̀ziōr,here along,,,"adv; derived; compound; Zoller 2005 ch. 4, p. 64; dictionary head: ʌ̀ziōr; dictionary POS: adv",zoller2005,,← ʌ̀zē plus -ṓṛ
Mai-Jijal,,ʌzīzvʌlī̀,friendship,,,"f; Zoller 2005 ch. 4, p. 64; dictionary head: ʌzīzvʌlī̀; dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌ̀zē,"here, at this place",,,"adv; derived; Zoller 2005 ch. 4, p. 64; dictionary head: ʌ̀zē; dictionary POS: adv",zoller2005,,← ʌ̀s and zḗ.
Mai-Jijal,,azgʌ́r šɑ̄̀,a type of green vegetable (similar to spinach),,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: azgʌ́r šɑ̄̀ or azɣʌ́r šɑ̄̀ (n1); dictionary POS: n.m",zoller2005,,
Mai-Jijal,,azɣʌ́r šɑ̄̀,a type of green vegetable (similar to spinach),,,"m; Zoller 2005 ch. 4, p. 64; dictionary head: azgʌ́r šɑ̄̀ or azɣʌ́r šɑ̄̀ (n1); dictionary POS: n.m",zoller2005,,
