Telugu,d394,āba,greediness,,,,"burrow-emeneau1972den1[p. 400, entry 337]",,DEN I (1972) records this reflex under old main 337; resolved to current DEDR d394.,burrow-emeneau1972den1:p400:u040:f001,,,,source-addition
adil,d410,isnom,"so far, up till now",,,source label: SR; Voc. 202,"burrow-emeneau1972den1[p. 400, entry 351(a)]",,DEN I (1972) records this reflex under old main 351; resolved to current DEDR d410.,burrow-emeneau1972den1:p400:u042:f001,,,,source-addition
maria,d419,inka,a belch,,,source label: Ma.; Voc. 171,"burrow-emeneau1972den1[p. 400, entry 358]",,DEN I (1972) records this reflex under old main 358; resolved to current DEDR d419.,burrow-emeneau1972den1:p400:u043:f001,,,,source-addition
Gondi,d419,inkawata,hiccough,,,source label: LuS.,"burrow-emeneau1972den1[p. 400, entry 358]",,DEN I (1972) records this reflex under old main 358; resolved to current DEDR d419.,burrow-emeneau1972den1:p400:u043:f002,,,,source-addition
Kannada,d437,eḍacu,"difficulty, especially in speaking",,,,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this reflex under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f001,,,,source-addition
nanjangud,d437,eḍgu,to stumble,,,source label: Nanj.; verb,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this reflex under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f003,,,,source-addition
Tulu,d437,eḍaṅků,"to stumble, hit against",,,source label: B-K; verb,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this reflex under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f004,,,,source-addition
Tulu,d437,doṅků,"to stumble, hit against",,,source label: B-K; verb,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this variant under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f007,,,,source-addition variant
Tulu,d437,dompu,to stumble,,,source label: B-K; verb,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this variant under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f008,,,,source-addition variant
Telugu,d437,ḍekku,"to hinder, prevent, arrest",,,verb,"burrow-emeneau1972den1[p. 400, entry 371]",,DEN I (1972) records this reflex under old main 371; resolved to current DEDR d437.,burrow-emeneau1972den1:p400:u045:f009,,,,source-addition
tiyya,d445,eṭa,"lane, narrow path",,,source label: Tiyya,"burrow-emeneau1972den1[p. 400, entry 378]",,DEN I (1972) records this reflex under old main 378; resolved to current DEDR d445.,burrow-emeneau1972den1:p400:u047:f001,,,,source-addition
Toda,d448,ïṛ kwa·y,"bamboo vessel into which butter and buttermilk are poured from vessels of the inner section of the ti dairy, and from which they are poured into vessels of the outer section (to keep the ritual purity of objects in the inner section free from any outside contamination; lit. intermediate kwa'y-vessel; kwa'y, DED 1842)",,,,"burrow-emeneau1972den1[p. 400, entry 380]",,DEN I (1972) records this reflex under old main 380; resolved to current DEDR d448.,burrow-emeneau1972den1:p400:u048:f001,,,,source-addition
Kuwi,d480,re'nai,to abide,,,source label: S.; verb,"burrow-emeneau1972den1[p. 400, entry 407]",,DEN I (1972) records this reflex under old main 407; resolved to current DEDR d480.,burrow-emeneau1972den1:p400:u051:f001,,,,source-addition
