nyishi_chimpu,,bul,3rd pl.,,bul,,abraham-sako2021[p. 57],,,tagin-puroik:307:g:1
puroik_chug,,nareita,3rd pl.,,nareita,,abraham-sako2021[p. 57],,,tagin-puroik:307:c:1
puroik_gari,,tsahai,3rd pl.,,tsahai,,abraham-sako2021[p. 57],,,tagin-puroik:307:b:1
puroik_paji,,tsehaɲi,3rd pl.,,tsehaɲi,,abraham-sako2021[p. 57],,,tagin-puroik:307:e:1
puroik_phereng,,huagaɲi,3rd pl.,,huagaɲi,,abraham-sako2021[p. 57],,,tagin-puroik:307:a:1
tagin_baki,,əbunu,3rd pl.,,əbunu,,abraham-sako2021[p. 57],,,tagin-puroik:307:l:1
tagin_maskia,,əbunu,3rd pl.,,əbunu,,abraham-sako2021[p. 57],,,tagin-puroik:307:n:1
tagin_nacho,,o,3rd pl.,,o,,abraham-sako2021[p. 57],,,tagin-puroik:307:k:1
tagin_sippi,,nogəd̪i,3rd pl.,,nogəd̪i,,abraham-sako2021[p. 57],,,tagin-puroik:307:j:1
tagin_takseng,,ə,3rd pl.,,ə,,abraham-sako2021[p. 57],,,tagin-puroik:307:f:1
tagin_taliha,,bunu,3rd pl.,,bunu,,abraham-sako2021[p. 57],,,tagin-puroik:307:d:1
bugun_bichom,,uwe,3rd sg. (female),,uwe,,abraham-sako2021[p. 56],,,tagin-puroik:303:x:1
bugun_kaspi,,thei,3rd sg. (female),,thei,,abraham-sako2021[p. 56],,,tagin-puroik:303:y:1
bugun_namphri,,oe,3rd sg. (female),,oe,,abraham-sako2021[p. 56],,,tagin-puroik:303:z:1
bugun_singchung,,oe,3rd sg. (female),,oe,,abraham-sako2021[p. 56],,,tagin-puroik:303:v:1
bugun_wangho,,we,3rd sg. (female),,we,,abraham-sako2021[p. 56],,,tagin-puroik:303:w:1
nyishi_chimpu,,mw,3rd sg. (female),,mw,,abraham-sako2021[p. 56],,,tagin-puroik:303:g:1
puroik_chug,,bata,3rd sg. (female),,bata,,abraham-sako2021[p. 56],,,tagin-puroik:303:c:1
puroik_gari,,hoaʔ,3rd sg. (female),,hoaʔ,,abraham-sako2021[p. 56],,,tagin-puroik:303:b:1
puroik_paji,,ajeta,3rd sg. (female),,ajeta,,abraham-sako2021[p. 56],,,tagin-puroik:303:e:1
puroik_phereng,,βue,3rd sg. (female),,βue,,abraham-sako2021[p. 56],,,tagin-puroik:303:a:1
tagin_baki,,ʔə,3rd sg. (female),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:303:l:1
tagin_maskia,,ʔə,3rd sg. (female),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:303:n:1
tagin_nacho,,ʃiɲemə,3rd sg. (female),,ʃiɲemə,,abraham-sako2021[p. 56],,,tagin-puroik:303:k:1
tagin_sippi,,ɲəməʃi,3rd sg. (female),,ɲəməʃi,,abraham-sako2021[p. 56],,,tagin-puroik:303:j:1
tagin_takseng,,ʔə,3rd sg. (female),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:303:f:1
tagin_taliha,,bəɲemə,3rd sg. (female),,bəɲemə,,abraham-sako2021[p. 56],,,tagin-puroik:303:d:1
bugun_bichom,,uwe,3rd sg. (generic/male),,uwe,,abraham-sako2021[p. 56],,,tagin-puroik:302:x:1
bugun_kaspi,,thei,3rd sg. (generic/male),,thei,,abraham-sako2021[p. 56],,,tagin-puroik:302:y:1
bugun_namphri,,oe,3rd sg. (generic/male),,oe,,abraham-sako2021[p. 56],,,tagin-puroik:302:z:1
bugun_singchung,,oe,3rd sg. (generic/male),,oe,,abraham-sako2021[p. 56],,,tagin-puroik:302:v:1
bugun_wangho,,we,3rd sg. (generic/male),,we,,abraham-sako2021[p. 56],,,tagin-puroik:302:w:1
nyishi_chimpu,,mw,3rd sg. (generic/male),,mw,,abraham-sako2021[p. 56],,,tagin-puroik:302:g:1
puroik_chug,,bata,3rd sg. (generic/male),,bata,,abraham-sako2021[p. 56],,,tagin-puroik:302:c:1
puroik_gari,,hoaʔ,3rd sg. (generic/male),,hoaʔ,,abraham-sako2021[p. 56],,,tagin-puroik:302:b:1
puroik_paji,,ajeta,3rd sg. (generic/male),,ajeta,,abraham-sako2021[p. 56],,,tagin-puroik:302:e:1
puroik_phereng,,βue,3rd sg. (generic/male),,βue,,abraham-sako2021[p. 56],,,tagin-puroik:302:a:1
tagin_baki,,ʔə,3rd sg. (generic/male),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:302:l:1
tagin_maskia,,ʔə,3rd sg. (generic/male),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:302:n:1
tagin_nacho,,ʃiɲelo,3rd sg. (generic/male),,ʃiɲelo,,abraham-sako2021[p. 56],,,tagin-puroik:302:k:1
tagin_sippi,,ɲəloʃi,3rd sg. (generic/male),,ɲəloʃi,,abraham-sako2021[p. 56],,,tagin-puroik:302:j:1
tagin_takseng,,ʔə,3rd sg. (generic/male),,ʔə,,abraham-sako2021[p. 56],,,tagin-puroik:302:f:1
tagin_taliha,,bəɲəlo,3rd sg. (generic/male),,bəɲəlo,,abraham-sako2021[p. 56],,,tagin-puroik:302:d:1
bugun_bichom,,lakhuŋ,above,,lakhuŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:x:1
bugun_kaspi,,lakhuŋ,above,,lakhuŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:y:1
bugun_namphri,,lakhuŋ,above,,lakhuŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:z:1
bugun_singchung,,lakhuŋ,above,,lakhuŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:v:1
bugun_wangho,,lakhuŋ,above,,lakhuŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:w:1
nyishi_chimpu,,ʔod̪um,above,,ʔod̪um,,abraham-sako2021[p. 54],,,tagin-puroik:279:g:1
puroik_chug,,kouŋ,above,,kouŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:c:1
puroik_gari,,agia,above,,agia,,abraham-sako2021[p. 54],,,tagin-puroik:279:b:1
puroik_paji,,atsuaŋ,above,,atsuaŋ,,abraham-sako2021[p. 54],,,tagin-puroik:279:e:1
puroik_phereng,,agia,above,,agia,,abraham-sako2021[p. 54],,,tagin-puroik:279:a:1
tagin_baki,,ʔao,above,,ʔao,,abraham-sako2021[p. 54],,,tagin-puroik:279:l:1
tagin_maskia,,au,above,,au,,abraham-sako2021[p. 54],,,tagin-puroik:279:n:1
tagin_nacho,,au,above,,au,,abraham-sako2021[p. 54],,,tagin-puroik:279:k:1
tagin_sippi,,ʔau,above,,ʔau,,abraham-sako2021[p. 54],,,tagin-puroik:279:j:1
tagin_takseng,,au,above,,au,,abraham-sako2021[p. 54],,,tagin-puroik:279:f:1
tagin_taliha,,pəja,above,,pəja,,abraham-sako2021[p. 54],,,tagin-puroik:279:d:1
bugun_bichom,,dʒap,all,,dʒap,,abraham-sako2021[p. 50],,,tagin-puroik:243:x:1
bugun_kaspi,,dʒap,all,,dʒap,,abraham-sako2021[p. 50],,,tagin-puroik:243:y:1
bugun_namphri,,dʒap,all,,dʒap,,abraham-sako2021[p. 50],,,tagin-puroik:243:z:1
bugun_namphri,,tham,all,,tham,,abraham-sako2021[p. 50],,,tagin-puroik:243:z:2
