Wg,nured-210,puṇḍul-,to roll,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:38,,,,verb dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Kt,n2638,anǰí,"bread, food",,,,"nured[page 223, revision 3543, 2026-04-13]",,,nured:223:form:1,,,,noun f dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-226,kaṇë́,feast,,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:1,,,,noun dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-226,këṇému,feast,,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:2,,,,noun dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-226,kaṇë́ kṣō-,to stay,,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:3,,,,noun multiword-expression dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,nured-226,këṇë́,feast (of merit),,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:4,,,,noun dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Pr,nured-226,këṇḍ(ë́),"feast of merit, funeral feast",,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:5,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29 loanword
Pr,nured-226,këṇḍe li-,to hold a feast of merit,,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:6,,,,noun multiword-expression dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29
Wg,nured-226,kaṇë́,"boundary, edge, horizon",,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:7,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Wg,nured-226,kaṇë-kaṇë-e,"at the edges, at the horizon",,,,"nured[page 226, revision 3399, 2026-03-12]",,,nured:226:form:8,,,,noun
Kt,n3017,kuṭ,"voice, sound; numeral classifier for words",,,,"nured[page 231, revision 3262, 2026-01-30]",,,nured:231:form:1,,,,noun m dialect:Kt:nured-Kt-w:Western%20Kat%C3%AB dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Ash,n3017,koṭ,"voice, sound",,,,"nured[page 231, revision 3262, 2026-01-30]",,,nured:231:form:2,,,,noun m dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29 dialect:Ash:nured-Ash-tt:Tit%C3%ADn
Pr,n3017,kuṭ,voice,,,,"nured[page 231, revision 3262, 2026-01-30]",,,nured:231:form:3,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 loanword
